test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
flores,ka,-1.075493690055936e-09,0.7100206720831184,-0.014954211922326382,4.605129256633267,4.823583793562802
flores,gu,-1.5590909258663819e-09,1.2564231904536505,-0.03076574002974525,6.455440764766974,7.966155487018783
flores,hi,-6.803687264251502e-10,0.5573640999279955,-0.003773908270573509,5.831433073318738,5.824134782207448
flores,si,-5.434222817575055e-09,0.3485100062721176,-0.00213309330548186,3.6875441314703608,3.669735378065755
flores,ta,-5.614797908249128e-09,0.2612334605590972,-0.000755265838828128,2.74135735550993,2.7230935606372118
bible,ka,-1.6314242432074326e-10,1.6376377469503187,-0.0415111170284757,10.94247964108294,12.699452031462497
bible,gu,3.6335285007801996e-08,1.9522546659308395,-0.05138245248554775,10.869449077984667,12.606945789539171
bible,hi,1.0954281175077722,1.4439363183236429,-0.028195400598174537,12.02898565383591,12.58553352029845
bible,si,2.0809742786692094,1.5806962904637212,-0.03208800291431202,15.153367372183876,15.956043022359314
bible,ta,0.00023238380117905397,1.4043858464045638,-0.027655545172105715,12.161494650668988,12.50415951807962
gov,ka,-4.0577779172806725e-10,2.0239090308010708,-0.052448801459138925,13.577025656736856,15.470845650124597
gov,gu,2.372814032202691,2.154204914037111,-0.05725827315986049,15.586024649108209,18.444383497606943
gov,hi,3.6286966002929577,0.8289977115964832,-0.003830600224017909,13.96763817737619,13.648395926323989
gov,si,4.79248530845767,0.9916506299220388,-0.002537639476559146,18.160519795175286,17.939915387796336
gov,ta,3.4980314769841665,0.847388407613168,-0.002547449960817308,15.274810757203538,14.987860152816928
