,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,10.822247103087948,12.041122927956149,0.830101978936952,0.3933559953706808,0.23983567942769554
1,poly2,,6.660635019080803,7.879510843949003,0.9260879432515999,0.9537591624044881,0.9325987538674019
2,poly3,,4.911777473901822,6.130653298770022,0.947903151623507,0.9483488742107473,0.9406367368196695
3,exp,,15.707081181711995,16.925957006580195,0.5486851565689697,0.6297150563497221,0.37483672905929877
4,log,,10.447452021500307,11.666327846368509,0.8423717575651887,0.363214179089324,0.20862329841131172
5,power,,16.609031437346808,17.827907262215007,0.45946723891009567,0.342008141432031,0.497917562240488
6,mult,,6.831052087274727,8.049927912142927,0.9235253450732896,0.5784795939452446,0.21458994001236167
7,hybrid_mult,,9.694676432943062,10.913552257811263,0.8644034073929596,0.2829457483977006,0.12830130459486822
8,am,,19.622523254427193,20.841399079295392,0.012423846548879403,0.4268290631619004,0.6022406143752814
9,gm,,19.630953369268333,20.849829194136532,0.010757366003820379,0.3927628899127471,0.5675431480741683
10,hm,,19.63831916678752,20.85719499165572,0.009298979861994572,0.3630422423839478,0.5359315000102782
