,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,17.69731022015061,18.916186045018808,0.904156978392786,0.4950253461904541,2.8196417802431965e-08
1,poly2,,17.69731022015061,18.916186045018808,0.9041569783927859,0.49502534736627835,1.8473991474505058e-06
2,poly3,,17.697310220150598,18.916186045018797,0.9041569783927862,0.49502538240025257,2.7940217149942655e-06
3,exp,,15.901952204118974,17.120828028987173,0.9330704844929738,0.6835024290642394,0.4351266943231241
4,log,,17.69731022015062,18.91618604501882,0.9041569783927856,0.49502534605962917,2.0666493472058847e-06
5,power,,24.932118760520716,26.150994585388915,0.5926497544457991,0.0619092603322192,0.2739168960526736
6,mult,,15.901952204128719,17.120828028996918,0.9330704844928434,0.6834985289086437,0.4351211496444385
7,hybrid_mult,,18.834677890002837,20.053553714871036,0.879676350006125,0.5682912993875153,0.7063687395333054
8,am,,29.195632809218502,30.4145086340867,0.04436486781603155,0.14582050655889167,0.31269423039224087
9,gm,,28.75432832612342,29.97320415099162,0.12509502305273223,0.19835537824937216,0.3927647606392406
10,hm,,28.682839141400063,29.901714966268262,0.13751526884404508,0.27211874877826076,0.4551017019968727
