train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
cc_align,25,gov,1,flores,-318.7037582788923,999.9977635221976,-339.6119110967036,-999.9999999984461,525.3857136421776,-999.8760103262404,503.43636251699434,0.6265366065444142,2.3210510586592106
cc_align,25,gov,1,bible,-54.75376157619829,518.3542992555429,-207.32101927755792,-480.1340087969399,-344.6462960055345,562.893357824075,-343.45923642596716,1.7217015002026976e-10,0.6849713090908812
cc_align,25,gov,1,gov,-13.159744097103262,585.0112564124877,115.14947075684233,-999.9960883219125,-244.2883579125439,-140.9973151373236,263.0211823928122,0.041958792215579487,0.8604047485327397
cc_align,25,gov,10,flores,-360.04127550192123,999.9999394255829,-343.7771148174749,-999.9999950765784,639.4554241550038,-999.9938434952412,414.19214378666356,1.6315220244749309,3.742946059655198
cc_align,25,gov,10,bible,-85.74510616746255,281.18651940205604,-110.40397903262132,-249.45666226508982,195.89225660215328,-435.1228153796144,252.2563466293471,2.632656285650994e-09,0.3774079708149042
cc_align,25,gov,10,gov,22.08548599921886,517.7506426212922,-229.53638167685273,-439.4534334200832,-248.37588934699536,-72.47371424816244,240.88480826239976,4.459694173889884e-09,0.9998785093436559
cc_align,25,gov,25,flores,-381.5763778018466,999.9999995262564,-347.53239858359535,-999.9999999965538,692.9432124647452,-999.9969956516744,375.90786188429774,1.708404949577563,3.886688535023619
cc_align,25,gov,25,bible,-63.325794225029135,349.5733804448746,-142.62968097258081,-304.8119856929074,8.344994425824424,-134.30069945234683,88.54824937003583,9.117839492026013e-12,0.4536778658501111
cc_align,25,gov,25,gov,8.467098937114082,508.6160399022317,-169.36569363371135,-512.7603874652302,-211.00416610038295,-87.48966303708417,234.10023076192505,5.26338036773245e-10,0.8774382192450448
cc_align,25,gov,50,flores,26.98994355773365,-4.270830287943978,-9.795862484688314,-8.389284690422906,3.914082214475363,-9.457904632857796,-13.861505607184686,1.084450842607453e-09,2.135539612149104
cc_align,25,gov,50,bible,4.50550133695462,1.7495096550426326,0.5022359249901377,-0.07216326290763031,0.5650835351984801,-2.244473712509449,-3.9657280099045966,2.019676042417632e-09,0.17235402451866194
cc_align,25,gov,50,gov,17.586033205152418,-2.7990105997643586,-10.333485408782682,-11.262859002706874,19.02829281170023,19.739079227032367,19.722285473749075,7.898110170774729e-09,4.724868474417592
cc_align,25,bible,1,flores,-14.417671259671662,352.9045590190426,-149.18467561922228,-309.68573786262834,-255.8602089064837,307.81251712378406,-148.57691501443506,2.8764642009406486e-09,0.5330175930407655
cc_align,25,bible,1,bible,240.70055724964584,-39.568823835959776,31.560428079246208,40.88998701478693,-425.9847680825895,-175.85982069066978,483.28842818172325,1.1744788134434186e-09,0.3111520516750239
cc_align,25,bible,1,gov,-57.030090181085875,284.1654329171568,-103.66551804141397,-275.84180401365853,-18.35594767467773,-14.035894919808456,0.8274166467319184,1.177483127760118e-11,0.3704076654516192
cc_align,25,bible,10,flores,-93.52744949578509,614.037929207536,-266.5098624536348,-537.6154717151676,-246.9973751067353,399.06271444952614,-262.9083911622591,2.403523874761102e-13,0.8279816379928663
cc_align,25,bible,10,bible,358.4335082756556,-375.0936913223641,41.40816562700587,519.8562691258833,-477.42922602971765,-172.73066308401718,557.182672395018,5.92055798249879e-09,0.9221633167421464
cc_align,25,bible,10,gov,-1.5996471706305515,641.5830132668624,-279.1881505021308,-561.8136770467225,-672.7744785857633,996.5101463987713,-539.8293136122013,6.640973109283976e-09,0.778829164561773
cc_align,25,bible,25,flores,-87.88833207851849,546.5434187300199,-188.8678629579278,-543.1323738907754,-216.00000899790606,361.5854282421621,-246.05239512644198,1.8747631843729193e-11,0.7774564018475845
cc_align,25,bible,25,bible,418.23696582446667,-690.9833946077476,555.2009493981827,269.623776368434,-496.42858771741635,-114.89369475167557,524.0213598480457,6.970278579152397e-10,1.0293436355720242
cc_align,25,bible,25,gov,-10.458000709147628,665.4678041597585,-291.6184400710309,-579.0635182417908,-663.2586328858687,992.0640948206105,-544.4309612033226,1.69532087810031e-09,0.8137099256236403
cc_align,100,gov,1,flores,-337.9068904534496,999.9999971304838,-343.8857859683118,-999.9990421835254,572.9153021612645,-999.9564001406268,469.6248084045037,0.45111814600175415,2.032034221374598
cc_align,100,gov,1,bible,-149.1797541421238,497.0085008967608,-204.18738041689,-451.8727234867562,114.3310491951084,-133.31553464275368,7.574376746170085,2.5035563198594117e-09,0.6900452862723352
cc_align,100,gov,1,gov,18.150401374911127,461.73941748607365,-173.35906630694154,-420.5373755849682,-192.63088875399458,-170.62755898315964,278.15947638887803,5.435400748876415e-10,0.7536498955036107
cc_align,100,gov,10,flores,-327.57672061429827,999.9999717229038,-339.96207842275555,-999.9999999995744,568.6414614862454,-999.9986206826911,464.50360900243277,1.4594426761259007,3.429310858666272
cc_align,100,gov,10,bible,-18.27042599386188,281.8771699657541,-73.68988263113384,-299.42199414726053,-90.61245026239314,-49.692212777284176,82.58098794471096,1.8821699467655442e-09,0.35529487548645505
cc_align,100,gov,10,gov,71.65417529633034,385.1208912318151,-150.19355094627764,-347.3767961152926,-280.6634543680003,-98.46854398221461,297.2939101746577,1.7287712244614328e-09,0.38955462204000507
cc_align,100,gov,25,flores,-354.73867069540233,999.9999924326488,-343.4169732562013,-999.9999999984508,635.436200938963,-999.9995287064299,415.42160114118235,1.257532895144568,3.286370991432047
cc_align,100,gov,25,bible,10.989240769974558,196.45820225538125,-70.52859391313524,-173.61949754967,-105.88227857933212,-46.8441681712154,97.2853601154026,7.513077639422014e-10,0.2277308134819986
cc_align,100,gov,25,gov,88.99115041142345,250.47970236489465,4.6944725153026505,-367.7629235041613,-252.721773968444,-107.09941502221598,300.09197159870934,2.460784059803814e-09,0.6738269116849276
cc_align,100,gov,50,flores,29.964096920670848,-3.7214284415752146,-9.554242144707672,-8.167407936246274,3.042143096578129,-10.517211022362861,-15.405127793283643,1.1467917787057256e-08,2.0590921126588615
cc_align,100,gov,50,bible,4.486618292624797,1.7280424695182648,-0.25299916073474477,-0.9463943818018196,1.5417084650248363,-1.1739456457379056,-3.957098226069676,5.771312492370496e-11,0.0972449243108686
cc_align,100,gov,50,gov,16.941193573279488,-3.2581439044687173,-10.479861139397935,-11.136954179140305,19.43862072814495,20.564807216090152,20.623486434267058,1.0140948749452295e-08,4.499335226868271
cc_align,100,bible,1,flores,-42.18426301483237,342.2186825618814,-148.73819880336842,-294.6716055984896,-125.76920145080352,126.87776649500071,-64.80661513202597,2.5419362746118377e-12,0.47020579444290933
