model,none,lang
linear,5.656378890650528,5.093086042066756
poly2,5.6563878765504425,5.056288998240819
poly3,5.648622518967201,4.987234226456896
exp,5.844333454829057,4.951183264316052
log,5.633948353942327,4.92730877005255
power,6.769262392712602,5.645742463123872
hmult,7.163029195326267,6.023427084551399
