language to,c0,"c1,1","c1,2","c1,3",rmse,loo rmse
ka,30.210052575921942,-359.5081408207542,1184.3521323418647,-1043.0586663560405,9.332881636054374,9.336869912423207
gu,26.787804018998564,-226.62397706039226,699.8682237031663,-553.0528582049404,9.325416333189112,9.330427944904283
hi,12.273915455675116,-44.926745798184996,3.4836306475038157,255.41319526581597,9.145702135743951,9.147495400722315
si,-48.78641511599825,720.7762857215308,-2389.20061856864,2387.365406434505,12.654461050017872,12.659197580050714
ta,-12.75160662922355,274.5342354600789,-986.8368125798261,1094.7856210504908,10.14268080213906,10.146044622765544
