model,pareto,rawlsian,1-ka,1-gu,1-hi,1-si,1-ta,10-ka,10-gu,10-hi,10-si,10-ta,25-ka,25-gu,25-hi,25-si,25-ta,50-hi,50-si,50-ta
linear,True,False,1.2740959562918943,3.2857277139616063,1.5883515880868038,1.9383580053939597,2.3256158494443495,3.023572147962711,4.33902527752643,2.5812650568356568,3.7093194733846406,3.5212180781051736,3.04629635084187,4.680578929696767,2.480361721315219,4.04694809314252,3.376540859498873,0.8165107293049896,11.346205879534098,8.20648696916279
poly2,True,False,1.113631722315146,3.0281506626358135,1.5883878644572336,0.4542886149274988,2.0910894422719766,3.0018381562762166,3.986647063633773,2.5659435617362356,1.888289650471546,2.6437749019685683,3.0011950429137344,4.21474334344867,2.440952858066652,2.0699217793575326,2.374786504841484,2.834179254676943,14.3961285579517,10.981073367934448
poly3,True,False,0.4087126600095132,1.392395964638643,0.1623952187278662,0.34284748389988223,0.4935955157524949,1.73865510596023,2.2397481163573403,1.1455632850514859,1.8867631138476673,2.2194070469322567,1.6478158174067485,2.3598279525902552,1.0285071379992754,2.0699621826132044,1.9101761878284913,3.6709269464239798,15.77919863481947,12.230314862202027
exp,False,False,1.6451750813804173,4.331600889857287,2.7489299546820334,0.7359689290271949,2.7003877927820765,4.447888728659752,5.889268518620103,4.1015784372438,2.020274195766422,2.9707626168272467,4.8241253935295045,6.479815701574198,4.366509452619659,2.3435736647098633,2.785548439772109,44.92886003547296,173.529820953407,118.46974412647761
log,True,True,1.3644285772416391,4.265698245681862,2.4126940521419784,0.9384780145201836,2.454372280614167,4.205621298988045,6.0597154650671285,3.9300186997897515,1.8908797931143921,2.8422861615597657,4.59248968555905,6.764933188871612,4.19523782416694,2.015767073981325,2.5649921274653034,7.343935600942971,1.7716663449021481,3.201814852857703
power,False,False,2.413936808811434,5.407403648425419,3.9409579092293026,0.9496970768283077,3.7842065223828993,6.159093497344374,7.758050454449416,5.9783077794756645,2.431472125768948,3.6932191066455387,6.87824140021824,8.652499479588702,6.540927070267166,3.3661269323320546,3.5291074077666034,293.1384282996025,18108.547861685005,7593.203764215675
mult,False,False,2.413936808811434,5.407403648425419,3.9409579092293026,0.9496970768283077,3.7842065223828993,6.159093497344374,7.758050454449416,5.9783077794756645,2.431472125768948,3.6932191066455387,6.87824140021824,8.652499479588702,6.540927070267166,3.3661269323320546,3.5291074077666034,293.1384282996025,18108.547861685005,7593.203764215675
hybrid_mult,False,False,2.2951237385979453,5.810442575714213,4.193325099060219,0.7687425427138596,3.7992952903551593,6.759660800736286,8.756005746292084,6.798222122443376,2.4831759123544708,3.719863897393198,7.7203090548073146,9.885966749670429,7.584366874408335,3.6969427226188887,3.623751764533495,119.14780694263932,641.6484774749381,453.34306421657675
am,True,False,1.2740959562918943,3.2857277139616063,1.5883515880868038,1.9383580053939597,2.3256158494443495,3.023572147962711,4.33902527752643,2.5812650568356568,3.7093194733846406,3.5212180781051736,3.04629635084187,4.680578929696767,2.480361721315219,4.04694809314252,3.376540859498873,0.8165107293049896,11.346205879534098,8.20648696916279
gm,True,False,1.2740959562918948,3.2857277139616063,1.5883515878580823,1.9383580053939597,2.325615849444349,3.023572147962711,4.33902527759623,2.5812650568356523,3.7093194694397056,3.521218076106188,3.04629635084187,4.680578929611621,2.4803617215742584,4.046948091108241,3.37654085516046,0.8165107293049896,11.346205879534098,8.20648696916279
hm,True,False,1.2740959562918948,3.2857277143613106,1.5883515880868038,1.9383580053939597,2.3256158480679865,3.023572147962711,4.33902527752643,2.5812650568356568,3.7093194683456896,3.5212180781051736,3.04629635084187,4.680578929625498,2.4803617214916156,4.0469480938497835,3.3765408605901626,0.8165107293049896,11.346205879534098,8.20648696916279
