train set,language to,c0,c1,rmse,kfold rmse
gov,ka,5.069396622450346,3.807895426777152,10.861685501196533,11.045853891728155
gov,gu,10.942376473281424,3.1162401341576524,11.690258265984355,11.914292373690762
gov,hi,9.4576727664335,2.784688150217159,11.895939628552332,12.085272103241431
gov,si,8.933831558181476,3.289488219033809,17.381121757475025,17.616343966774917
gov,ta,7.693720160265555,2.656331723531251,14.350538570690512,14.558037802302858
bible,ka,4.395317492707619,1.8981790190427403,10.040962704729372,10.220305546498272
bible,gu,6.510906362223699,1.6723741414153923,9.893621286538057,10.081882554404682
bible,hi,7.03319415961998,1.6361162714970356,11.787406970611249,12.011695482543598
bible,si,7.639688217220612,1.9344396264423864,14.668508329088185,14.94308865919428
bible,ta,5.787035745862138,1.7336406979288377,11.588675428702551,11.803725190502561
