language to,c0,c1,c2,rmse,kfold rmse
ka,4.423556569245078,2.840876347890976,-3.6792041517430434,10.549213363055667,10.578221914903828
gu,8.402625116872278,2.3831741487178073,-3.40662741428451,11.256679367994083,11.325516308352368
hi,7.531291821871782,2.6178448503016365,-3.609667658693063,11.902268879505456,11.926601651643363
si,7.63004441737247,2.992049847695878,-3.687585805032989,16.196139239758047,16.240274960298102
ta,6.134347391811562,2.513806299065431,-3.821733560168952,13.14498946152191,13.179819417092526
