train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,3.50632760755707,-5.69827534228065e-10,3.0166278092306675,0.0026353262179584134,8.81229039254719,9.124934458642102
1,gov,4.008884312224165,-7.212552182651936e-10,3.445570262227356,0.001539559646549919,10.0077922674535,9.749679541540333
10,flores,4.501743939820116,9.581982398001903e-06,0.01783787116533687,1.2592947347499816e-11,5.963695307115338,5.79981433989488
10,bible,6.7848989227643175,-8.87634665529598e-10,5.810611393779974,0.0007430257523094078,13.362252071478402,13.59396804193959
10,gov,8.475771192591267,0.2076331660333266,7.307130494748093,1.2456356676409533e-09,17.16856975165644,16.993804296800235
25,flores,3.306048481818119,-3.4261537894405405e-09,2.843664855543481,6.54812054889747e-08,6.9579649028762445,6.7491933128337624
25,bible,8.057055413444726,0.027214378584412575,6.8968363899663,-1.608396841735499e-09,15.15323791846149,15.4535794803663
25,gov,9.497222934459854,0.00887371732811207,8.161083754977431,-2.568126543698045e-09,19.06886985060978,18.868013757171347
50,flores,6.555297174105004,-0.0010545876923035904,5.318526757485725,-2.0774134898353044e-09,4.468340011072818,3.630914608195009
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,22.02430333128004,0.000803369725532618,18.49476004141031,8.359638891478863e-10,6.357402415830116,5.722039323817246
