test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
flores,ka,0.5310262803516637,42.02146944073131,-53.36692462814745,4.535875528364013,5.215414365339523
flores,gu,4.117130422938724,40.113420272751675,-48.495364120463655,6.082557028092727,7.00371208947582
flores,hi,4.635101112806719,10.817551910446872,3.2005684852763725,5.26399248248851,6.252248772238677
flores,si,2.6416985169342246,8.83903839371726,0.5951764442148547,3.3849431931976635,4.026127553889936
flores,ta,2.0028054299815863,6.966823502721872,2.138997383801202,2.499277472619387,3.05347715040401
bible,ka,5.344502304831467,48.97654856196499,-59.73090434275495,10.595635899652317,12.209084589322652
bible,gu,8.541222111970757,38.84489367259427,-45.25473604989992,9.994540176194272,11.527363765752114
bible,hi,9.049158413298535,41.34686223461345,-47.020782907964964,11.241800081352554,11.875706286117245
bible,si,10.034729599270996,48.184714601186506,-56.75215559476121,14.5363703975228,15.338282730998346
bible,ta,7.487005570444097,41.309618441657435,-47.19414785627891,11.474259454881231,12.103982997134665
gov,ka,4.691704010399468,74.87988746762748,-97.9265708425049,13.353495177917198,15.375968151379794
gov,gu,10.950911289485727,48.64349115967411,-59.49059695638893,14.983880227325333,17.283940723754103
gov,hi,11.5824287906782,10.599840364562878,13.891346133202852,13.295734659583955,15.07461530240521
gov,si,12.746118850418275,18.733289238871784,17.122957044861472,17.64896848649651,20.178459803469373
gov,ta,11.451746402055594,11.519427520450114,17.099176964410983,14.66292984393938,16.72312323156393
