model,pareto,rawlsian,1k,10k,25k,50k
linear,False,False,8.125350590927109,13.557020296009457,15.18100775734643,17.36549039664124
poly2,False,False,8.125252455408921,13.557698986214437,15.182865616519418,17.365940265245158
poly3,False,False,8.12572701664821,13.55704222408185,15.182233509125606,17.366284947556508
exp,False,False,8.12109939223436,13.56709608687289,15.192324832760084,17.365699603175518
log,True,True,8.095754848767198,13.555565892325053,15.179450090729471,17.364280319214533
power,False,False,8.100007340298347,13.564166003143953,15.18962930327008,17.36565418776243
hmult,False,False,8.103718330483659,13.562526552624885,15.18709524132735,17.364484999275685
