test set,language to,c0,c1,rmse,kfold rmse
flores,ka,2.2602047950899,13.29081170825948,4.730889771196521,5.081479328008586
flores,gu,5.688775652234642,14.005100216752089,6.2040604160709725,6.679424488517662
flores,hi,4.265617859373996,13.95109539614723,5.273878203312616,5.387506950118465
flores,si,2.5729888373282326,9.421753168976483,3.3854752811827233,3.45340037463482
flores,ta,1.7558693173383881,9.061029989722307,2.5085688160844017,2.564312587805019
bible,ka,7.279933107745243,16.819735423607494,10.701942890553283,11.512820398951071
bible,gu,10.007824541893415,14.481285156732934,10.05936587647238,10.81266573134309
bible,hi,14.47745028453336,-4.689394468198922,12.200925609837794,12.76102773143336
bible,si,16.586442149739142,-7.379132350946826,15.622436304771558,16.29437415794984
bible,ta,12.935293779238798,-4.896334208954972,12.422137128284602,12.978072243196959
gov,ka,7.864955355761984,22.15989911329319,13.579464412912236,14.571736737413739
gov,gu,12.87891085786572,16.6156560924563,15.058659677824037,16.17472669723506
gov,hi,9.97874590459536,24.200319986310852,13.369330482144779,13.69591048340953
gov,si,10.769399533640447,35.49762683036855,17.733246748452995,18.147761317328918
gov,ta,9.477741358785126,28.260574626261334,14.76397499816677,15.12913806754851
