train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,15.612294558534826,39.42435966112523,-128.5053827733311,1.8804503467591176,1.8842919516825276
gov,1,bible,-220.4513811128515,941.544568089725,-999.9999999360624,0.651808354116793,0.6519583720729342
gov,1,gov,213.21365746706795,-885.3042336283157,999.999563845511,3.544990651446235,3.5522952020001024
gov,10,flores,-120.1004072384977,756.8237784088054,-999.9999999999989,1.7111537086611772,1.7220313207563438
gov,10,bible,-200.700473588399,903.2259007098922,-999.9999999782199,0.8138311632740597,0.8138500991993683
gov,10,gov,-255.60385380770447,999.9999999981591,-825.5853180539945,2.568229967250756,2.680487194688845
gov,25,flores,-106.22319694979437,733.1736330623389,-999.9999999963806,2.0411945614560674,2.0529856489523097
gov,25,bible,-198.89581205249863,900.4453764608575,-999.9999999844699,1.0096563263379945,1.0099770686892742
gov,25,gov,-259.2262105985157,999.9999999971527,-793.7884693735427,3.1297586118567815,3.280863180403254
gov,50,flores,-109.1127349538615,741.9426338495362,-999.9999999999999,0.16579367447617965,0.17516127480800525
gov,50,bible,258.3956036067821,-999.9999972700087,972.6516065327618,0.06618516783466202,0.06992960070721164
gov,50,gov,-261.28966494436645,999.9999999999947,-775.1492904825,3.770365304626412,3.983674123728
bible,1,flores,-223.57192401183633,948.8264245609413,-999.9999999211796,0.501835616100449,0.5022536765442683
bible,1,bible,209.46732169373163,-881.9036671490677,999.9999999999955,2.5268470933487506,2.944025119788144
bible,1,gov,-215.71297879176896,911.0441844032789,-957.7701272818613,0.3035918853312333,0.3035924329447371
bible,10,flores,-213.1823852088536,929.9078081267512,-999.9999999999961,0.7263075475369938,0.7277181244723541
bible,10,bible,188.2755176649556,-816.5973303804433,999.9999999999983,2.726082489997842,3.4502217189623368
bible,10,gov,-216.6161013271198,934.8510551976493,-999.999999971259,0.5431400081950075,0.5432378106801835
bible,25,flores,-216.04325580834498,936.1514222832537,-999.9999999670963,0.6654893029064546,0.6656181376472015
bible,25,bible,190.11659900553556,-811.4478308633915,999.9999999999981,2.9895808024690105,3.076137384878755
bible,25,gov,-217.63485422246708,937.0852486192135,-999.9999999596326,0.6114223126516679,0.6114350222219515
