train set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,3.885125335571412,1.5562668779230064,-1.199976709162885e-09,-0.14172778861221313,3.2831876807791667,2.7414395966899012,2.2538717058824744,14.851910946927312,14.906270920944632
bible,2.839871130919522,5.732093654679403e-09,0.022857907420568122,0.017804058741316672,2.1383201380076584,1.50691264415936,0.9386652023522575,12.318756758532581,12.274792932482208
