train set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,3.563293568954906,-4.979614875275899e-09,-3.418472218135616,0.39723026026655517,0.666621308500196,-2.3091264342177227,0.619215250254647,14.377712688476068,14.423711064630885
bible,6.059586835024714,2.5001564390977324e-07,-0.9478527975797795,-0.03192280298952061,0.6040953549785714,-1.7570779742790341,0.14810646414693976,11.97547434568269,12.002074302562518
