train set 1,train set 2,test set,language to,c0,c1,c2,rmse,loo rmse
cc_align,gov,flores,ka,6.604788155867574,0.22899160818609185,1.0,2.19549838310876,3.105502920834087
cc_align,gov,flores,gu,11.42180550980154,0.24134614102575144,1.0,2.5286619058537316,3.70753002257554
cc_align,gov,flores,hi,11.184524876789729,0.18161755283767944,1.0,2.051486173426755,2.4271590636759273
cc_align,gov,flores,si,7.78622752117333,0.12365464057319152,1.0,1.5064575002811296,1.8996456479026653
cc_align,gov,flores,ta,5.583061326176297,0.14799004127276866,1.0,1.379863178176085,1.7205920598701276
cc_align,gov,bible,ka,0.7697740066255537,0.03333491338284624,1.0,0.2974884813361815,0.4086332163056215
cc_align,gov,bible,gu,2.6891048141152027,0.05286489609459209,1.0,0.4323318747462087,0.6702134518048457
cc_align,gov,bible,hi,2.030131344262731,0.045826835955683404,1.0,0.6289083443608332,0.7480902716175895
cc_align,gov,bible,si,0.8074547547724027,0.04410821710628268,1.0,0.2609891318575778,0.30652575329991466
cc_align,gov,bible,ta,1.2298739165393116,0.05281766047366959,1.0,0.5640380339963796,0.7354048613141329
cc_align,gov,gov,ka,19.88108224351155,0.3573598176197577,1.0,3.967764122881529,5.52751402272493
cc_align,gov,gov,gu,25.495289442721365,0.3123547812473712,1.0,3.496891671582181,4.830126936266941
cc_align,gov,gov,hi,25.512932465537812,0.21480419890500882,1.0,3.7136885796198627,4.550524790809609
cc_align,gov,gov,si,31.040998417499196,0.34854868830473,1.0,5.584474021166543,6.689423995008931
cc_align,gov,gov,ta,26.506690473907593,0.2671320790766646,1.0,4.260342100284067,5.198688463689879
cc_align,bible,flores,ka,1.076769292081192,0.03739466020564269,1.0,0.32734347476637826,0.5249544464712342
cc_align,bible,flores,gu,2.72119643410618,0.06965378864852799,1.0,0.45626358089783653,0.6610844733763057
cc_align,bible,flores,hi,2.3669940090764774,0.03563911332864441,1.0,0.24870796177179214,0.38575789771848706
cc_align,bible,flores,si,1.1863976129918037,0.03188130584206913,1.0,0.197573304327895,0.29107621109389864
cc_align,bible,flores,ta,1.337166608539019,0.048583205472457376,1.0,0.22506059339380302,0.38750921073172645
cc_align,bible,bible,ka,15.546563261057852,0.31737121542304436,1.0,3.2237300924387298,4.23157161596689
cc_align,bible,bible,gu,17.472518271709173,0.2645989869286527,1.0,2.7832055937533826,3.656852800343956
