train set 1,train set 1 size,train set 2 size,language to,beta,C,cost
gov,1,1,ka,-30.522189388741065,16.315800887051545,0.6215534815354418
gov,1,1,hi,-39.278115600057895,22.621923348493922,0.9377927281351447
gov,1,1,ta,-32.03076170037098,19.76207164525362,1.9368361782203898
gov,1,1,si,-47.399524985498935,29.055625532403653,2.690787882065285
gov,1,1,gu,-28.51316363517839,19.023914285394223,1.4184551333410516
gov,1,10,ka,-52.44465724960934,27.997484778183587,0.9789564305168733
gov,1,10,hi,-56.24487810235487,33.34033911537253,2.165043778940051
gov,1,10,ta,-42.62776450606275,30.224936077173027,4.6277262425238925
gov,1,10,si,-63.93097421255914,41.659109333128846,5.512824002536679
gov,1,10,gu,-35.07128328281426,27.656443677299922,3.360160223872949
gov,1,25,ka,-62.77830887914429,33.27482867130706,0.9631824906772977
gov,1,25,hi,-62.079348320901545,37.38292901624785,2.701205556169145
gov,1,25,ta,-49.99654926683424,35.28255717972201,5.29055799238321
gov,1,25,si,-73.28029655595321,46.85635697065701,6.154251940305134
gov,1,25,gu,-42.78294563278954,32.38299074308381,3.625082310548014
gov,10,1,ka,-37.21555051577535,20.39871626784104,0.6489188127555017
gov,10,1,hi,-41.44136114450505,23.680867161658924,0.8096580775943968
gov,10,1,ta,-35.38310747591348,20.76003121250483,1.5873799465297207
gov,10,1,si,-51.86257063499111,30.60807498543726,2.2006918278947407
gov,10,1,gu,-33.054629255322574,20.76959807617421,0.9606911263892661
gov,10,10,ka,-54.41390705787311,29.78714217619665,1.0180741257197037
gov,10,10,hi,-58.05924200030698,33.619402865126425,1.7307505353233692
gov,10,10,ta,-45.78164542464673,30.73148024461698,4.011706278066644
gov,10,10,si,-65.5183498323702,41.95505575488518,5.431930006217046
gov,10,10,gu,-38.627549079180184,28.40257284642306,2.7834467705307415
gov,10,25,ka,-63.42655374212986,34.33105979307004,1.0602525626380792
gov,10,25,hi,-66.20274596113812,38.26386006196328,2.0548538792770383
gov,10,25,ta,-53.33486829469777,36.08931312546096,4.736528295735451
gov,10,25,si,-73.96177898063391,46.84001372628583,5.964229982077704
gov,10,25,gu,-45.1311763781243,32.20013188399681,2.734595332361693
gov,50,1,hi,-42.31941348157446,24.291991752346753,0.659677658909443
gov,50,1,ta,-36.643792086823524,21.6096810374805,1.4969704662696273
gov,50,1,si,-54.739046209983314,32.19109683591314,2.226954001269588
gov,50,10,hi,-58.2124969923942,33.735206927434795,1.6419109105075846
gov,50,10,ta,-46.84077750343095,31.434158268479838,4.070233560049737
gov,50,10,si,-67.55907916072815,42.80697159851574,5.319810803670592
gov,50,25,hi,-66.02475333906469,38.44702409318537,2.147795928002168
gov,50,25,ta,-53.124049083584445,35.97001059582249,4.6682234496884805
gov,50,25,si,-76.23713523877429,47.61918136400189,5.750710766964201
gov,25,1,ka,-37.47105128296328,20.728416007262844,0.6531089352127729
