train set 1,train set 1 size,train set 2 size,language to,beta,C,cost
gov,25,1,hi,-42.360440495887715,24.08982225678042,0.7844520863723626
gov,25,1,ta,-36.64379198485562,21.409681012923976,1.4969704714789924
gov,25,1,si,-54.025620571431304,31.671105879656892,2.2471419383548152
gov,25,1,gu,-33.96415698787655,21.083765842405512,0.8132094070888136
gov,25,10,ka,-54.81732036286895,30.32339428814386,1.1109270475878998
gov,25,10,hi,-59.64809226672923,33.97709241281847,1.448607320600061
gov,25,10,ta,-48.10164862339889,31.45673484452458,3.858600649621618
gov,25,10,si,-69.14462356306198,43.10276474724937,5.124904767671186
gov,25,10,gu,-39.47288794104968,28.485479945485924,2.4965184979515294
gov,25,25,ka,-64.06410619232399,34.88685157426547,1.1579505742713299
gov,25,25,hi,-67.7569722102884,38.807186301994406,1.948512705424021
gov,25,25,ta,-54.584124839479806,36.00419110482825,4.465595821308848
gov,25,25,si,-76.2351572270674,47.01901707652221,5.5792245613817055
gov,25,25,gu,-45.14194523987529,32.50097771030244,2.787898364180703
bible,1,1,ka,-31.454941269372085,17.016460524966117,1.6707934976910492
bible,1,1,hi,-40.78153197220154,27.342959415575702,2.8800507522670022
bible,1,1,ta,-38.74588528536668,26.33950638301828,3.4928690353305427
bible,1,1,si,-44.14953893202851,29.470600057782466,3.174910830002854
bible,1,1,gu,-47.965927848799154,31.582299435909412,3.1221140982190847
bible,1,10,ka,-72.0169354666737,39.004683026279416,2.6595315066750285
bible,1,10,hi,-61.40635213148818,40.699587149381664,3.0325714165607227
bible,1,10,ta,-55.169303352825175,39.16664706614645,5.855746248103363
bible,1,10,si,-67.68169400962631,47.89011659789802,6.274041742161028
bible,1,10,gu,-68.14631447841668,44.7600229050582,3.0168477455153413
bible,1,50,hi,-72.22555215124963,46.155133969722094,1.8800894723267918
bible,1,50,ta,-65.55061392640135,46.12064726438036,5.5287504942090635
bible,1,50,si,-81.46790196474431,56.84380173957055,7.030666058422684
bible,1,25,ka,-84.10289387110406,45.404093596028225,2.3442209117480646
bible,1,25,hi,-67.45711763441001,43.862159516983986,2.576104794614825
bible,1,25,ta,-61.882692571615834,43.50955955392694,5.894339598818817
bible,1,25,si,-75.6008871305232,53.25183065035553,6.884270448298536
bible,1,25,gu,-77.80297053606766,49.81151960218457,2.90272537943923
bible,10,1,ka,-48.66177308958907,26.841188836116615,1.9848172976207612
bible,10,1,hi,-46.42157314108913,28.549138769450167,2.053460654734669
bible,10,1,ta,-45.068101750545075,28.521823599911627,3.0834946723215775
bible,10,1,si,-51.056103128426116,31.95377570404125,2.707205868492246
bible,10,1,gu,-52.68084527399632,33.599018200586144,2.8504714005529994
bible,10,10,ka,-70.93367398632704,40.05222048378012,2.2693716697054693
bible,10,10,hi,-56.32389376537183,39.84879866087023,3.4212924141203875
bible,10,10,ta,-55.58477601683153,40.01013470216859,5.899802000296407
bible,10,10,si,-67.06350527704757,48.32513114541553,6.669823712752914
bible,10,10,gu,-65.83772420528409,44.9558071191857,3.2902180389598974
bible,10,50,hi,-65.86323117807574,45.23412741516997,2.566522077253565
bible,10,50,ta,-64.3202833927849,46.50329861223055,5.7971064186036605
bible,10,50,si,-78.00411175227539,56.61384519256312,7.694075505020096
bible,10,25,ka,-79.54128057542576,45.04854637488944,2.497548980564089
bible,10,25,hi,-62.420955931934294,43.239248975880486,3.1865309123383243
bible,10,25,ta,-61.05950352143486,43.92937060562985,5.978464009505539
bible,10,25,si,-72.12680556422809,53.21338362082056,7.608054773384462
bible,10,25,gu,-72.92202608375763,49.078815647001285,3.2427569747860208
bible,25,1,ka,-50.44449324316814,28.283097670165162,2.1386785974664613
bible,25,1,hi,-47.91389319133865,29.137458295889157,2.1195188169736165
bible,25,1,ta,-47.175771340450524,29.482588768065273,2.985182906635761
bible,25,1,si,-52.43379027344742,32.690534540005046,2.5467555220128832
bible,25,1,gu,-54.88179401772984,34.87231243060538,2.8713626461366206
bible,25,10,ka,-69.58460032652597,40.45053710086283,2.527889115822288
bible,25,10,hi,-56.85924314160196,40.2269659523756,3.5334517104076917
bible,25,10,ta,-55.79251131409067,40.13187867677319,5.921831064615639
bible,25,10,si,-67.06315074449243,48.625187975736885,6.497255892072044
bible,25,10,gu,-64.68405759353368,44.855058257289514,3.2846424646178294
bible,25,50,hi,-63.74093595470488,44.73359210037252,2.458555801798925
bible,25,50,ta,-63.29495668481421,46.605520264437004,6.0304123160321454
bible,25,50,si,-76.98522559273628,56.61682457045686,7.814728493112675
bible,25,25,ka,-79.00429137165665,45.17252502894948,2.442667245930877
bible,25,25,hi,-60.56479658047537,42.87524717934628,3.163553065127533
bible,25,25,ta,-60.030796469021396,44.129074955161904,6.213004407706493
bible,25,25,si,-72.33118018478864,53.733289062375135,7.572241235559188
bible,25,25,gu,-70.91243634526542,48.73632241556922,3.373032896555724
cc_align,100,1,ka,-40.3953837175228,22.018691564541207,2.5954477407335594
cc_align,100,1,hi,-53.408473519028774,29.94668079640737,2.3394568691113107
cc_align,100,1,ta,-39.962171195372754,23.682100597735605,3.2110337792738877
cc_align,100,1,si,-56.74764366833056,33.70631681640156,2.3317995766415662
cc_align,100,1,gu,-45.62807624315668,26.876846562340823,3.81703201273799
cc_align,100,10,ka,-67.7777364268734,36.26648956191298,2.923585462875801
cc_align,100,10,hi,-75.60583995316688,42.403251969969844,3.155318228603581
cc_align,100,10,ta,-57.0789863230542,34.24532637154625,3.6543763142056407
cc_align,100,10,si,-76.99903258306205,45.03492114013668,3.907104042354956
cc_align,100,10,gu,-77.32320445138197,44.84424239859317,5.398356785128701
cc_align,100,50,hi,-85.61509771285172,49.605145478493554,0.8119660010325211
cc_align,100,50,ta,-76.37548699775891,48.06794154760043,2.0348208614068275
cc_align,100,50,si,-96.12562483865335,59.24386111495833,3.499394746784244
cc_align,100,25,ka,-77.60838539791466,41.54178291779699,2.9134459135806368
cc_align,100,25,hi,-81.89430802591426,45.85066787165248,2.8247734853183877
cc_align,100,25,ta,-63.466644643951746,38.36071956898931,3.7040526134471468
cc_align,100,25,si,-85.58150454044157,49.621234994629894,4.236067202046004
cc_align,100,25,gu,-81.00607135791829,47.13484099216246,5.103233768199817
cc_align,25,1,ka,-36.48665561579241,19.508945568692386,2.178444869521587
cc_align,25,1,hi,-48.7991604965372,27.23082679115551,1.9286395557763572
cc_align,25,1,ta,-39.421702075420754,22.910063325932622,2.8299835361325503
cc_align,25,1,si,-54.96489101868236,32.41964412441846,2.15545740566579
cc_align,25,1,gu,-44.06644844280696,25.734355808199783,3.7248630382862897
cc_align,25,10,ka,-64.96685301399077,34.57261126392443,2.963042051202379
cc_align,25,10,hi,-71.64484424419555,39.905133240020184,2.6840279208684086
cc_align,25,10,ta,-57.56051963643343,33.59211600761423,3.6348833152617313
cc_align,25,10,si,-76.48978576779021,44.13531035973539,3.899508762445919
cc_align,25,10,gu,-74.81517940180338,42.96315768469832,5.0638631657177084
cc_align,25,50,hi,-88.05772726844216,49.65512200863689,0.026874359743382512
cc_align,25,50,ta,-77.83563301067345,48.09859189290927,2.6904995367073923
cc_align,25,50,si,-97.7580340827646,58.99863456198005,3.673068711422379
cc_align,25,25,ka,-73.94871109940303,39.49321318699755,2.907574741187166
cc_align,25,25,hi,-77.94821328356892,43.44071378442085,2.5584455194580467
cc_align,25,25,ta,-64.79371602477963,38.0290142657582,3.6472668735511165
cc_align,25,25,si,-85.4549547013751,49.15617561426283,4.2374495438202455
cc_align,25,25,gu,-79.04183806411972,45.752030134831294,4.987151292697483
