,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,3.863865219587624,5.082741044455824,0.8649936467598476,0.8642733875631415,0.9636384588179778
1,poly2,,3.8638652195876237,5.082741044455824,0.8649936467598476,0.8642733883541561,0.9636384593899822
2,poly3,,3.863865219587624,5.082741044455824,0.8649936467598475,0.864273383183494,0.963638456230228
3,exp,,3.865780619819766,5.084656444687967,0.8649419186124021,0.8231795229202491,0.929004826083837
4,log,,3.863865219587623,5.082741044455823,0.8649936467598475,0.8642733882561241,0.9636384593834191
5,power,,3.863865219587624,5.082741044455824,0.8649936467598475,0.8642733875631363,0.9636384588179778
6,mult,,3.863865219587624,5.082741044455824,0.8649936467598475,0.8642733875728139,0.9636384588243396
7,hybrid_mult,,3.8638652195876233,5.082741044455824,0.8649936467598475,0.8642733875631343,0.9636384588179778
8,am,,6.840008019031576,8.058883843899777,0.7551733526524296,0.48050110586695066,0.09726883322855341
9,gm,,4.079767910554935,5.298643735423136,0.859036304773287,0.7067934858667508,0.5534751964851463
10,hm,,4.194123443649999,5.412999268518199,0.8557751582091448,0.13476516037694894,0.42361348775220564
