train set size,language to,c0,c1,rmse,kfold rmse
1,ka,0.6660207294481275,-1.4067695919115053,2.427288990567845,2.406496150958652
1,gu,2.0179416101385086,-1.0766293488515577,5.497713616688122,5.391993359301159
1,hi,1.3695365106692599,-1.2854700896761269,4.004529787529912,3.9321983779818606
1,si,0.4448260139652924,-2.182731865218625,0.9937475576708832,1.0131333063751686
1,ta,0.9527571938078688,-1.4126833449973695,3.815520453614958,3.7800556947283304
10,ka,2.110651898924256,-1.1376465932374447,6.2001281856956645,6.103748650243319
10,gu,3.851976471648638,-0.9053783326332111,7.829496128612863,7.677718466708773
10,hi,2.6149048027097117,-1.097692938544071,6.043953474669436,5.921757468683446
10,si,0.9342979839289212,-1.695873857662884,2.465648882792007,2.4107262885071203
10,ta,0.8934301577438782,-1.5357185807095943,3.729645443084785,3.6917891844379533
25,ka,2.5960535457696583,-1.083787151098758,6.911952035573805,6.803130334208153
25,gu,4.681225945539282,-0.8538133478786809,8.707657534806884,8.545085390538668
25,hi,3.0668119084856795,-1.0573294524980752,6.587766916156442,6.452330022752279
25,si,1.3734335958468482,-1.5380290217502608,3.4119948721995237,3.331169140209064
25,ta,1.0371765083892643,-1.4853381419570582,3.58599470017897,3.5252957109394445
50,hi,3.018878632470459,-1.293655918439409,4.36924426031488,152.08941349804036
50,si,2.12161900329491,-1.3406456324588432,3.3359820267766125,665.0377264754037
50,ta,1.9692210392762362,-1.2905034056358453,3.0547805553133673,410.9433298176354
