model,pareto,rawlsian,gov-1k,gov-10k,gov-25k,gov-50k,bible-1k,bible-10k,bible-25k
linear,False,False,8.383291738595256,14.176702478430276,15.576753800367085,17.55386848634308,7.8823041851479,12.473163313558432,14.298608903768592
poly2,False,False,8.491602460626849,14.202555447554246,15.648333729912697,17.84615786995081,7.888613265135258,12.49022559594878,14.30644787631886
poly3,False,False,8.475139652582552,14.232742012235406,15.726483603323908,17.79742728611221,7.898351361158403,12.55501848493625,14.38350559215234
exp,True,False,8.37531112215559,14.17283226603291,15.573220920186987,17.504696553761203,7.869024804691418,12.45814952273592,14.280616171603596
log,False,False,8.383450534201113,14.177023850329755,15.577096542836514,17.553991099618983,7.882380139487369,12.473158079120712,14.298609136690294
power,False,False,8.382527052947346,14.17613916045806,15.576039917339257,17.551726878353687,7.882351374824873,12.472643370834792,14.297819558921594
hmult,True,True,8.362021545075933,14.144737116357806,15.541132653999131,17.46818752493946,7.869518831483144,12.454613796080752,14.277316069365853
