model,multi factor,multi variable,overall linear,sliced linear
linear,96.00%,94.37%,94.73%,100.00%
poly2,96.31%,94.67%,95.03%,100.31%
poly3,96.04%,94.41%,94.77%,100.04%
exp,93.88%,92.29%,92.64%,97.79%
log,95.99%,94.36%,94.72%,99.99%
power,93.88%,92.28%,92.64%,97.79%
hmult,93.98%,92.39%,92.74%,97.90%
