train set 1 size,train set 2 size,language to,c0,c1,c2,rmse,loo rmse
25,1,ka,-6.542299949882621,-0.5318310876998636,-11.727900675767138,2.6683423840802267,2.7831082524414112
25,1,gu,-4.035588654431256,-0.7879506473607293,-12.13195598482824,4.4718469242715475,4.60695246558786
25,1,hi,-6.473637235724941,-0.7113563715182897,-13.366933299635122,2.7109212112192704,2.7801315578661705
25,1,si,-11.738792182110181,-1.4167219814854728,-19.48996067717077,1.3027573442255638,1.3074518421749592
25,1,ta,-7.427813767691071,-0.8975195237231612,-13.236015448526897,2.874957708429762,2.9908916373767
25,10,ka,-8.92317797974919,-1.0945221499328883,-16.651068438025227,4.069908079370542,4.1965521209180965
25,10,gu,-5.697302128549547,-2.9654070799253645,-15.633852398030287,6.033246194458279,6.205134153512168
25,10,hi,-9.73660741691617,-2.804169799828967,-17.737916615371063,4.101590617301686,4.210476342031608
25,10,si,-16.372040483684856,-4.660618205948734,-23.703387082930305,2.5312301456849933,2.5721175981624076
25,10,ta,-12.012958106262735,-3.8562964125360915,-17.5361527766468,2.8857156433362947,3.027117031296805
25,25,ka,-9.236319943802235,-0.6434494770477822,-18.39159900218365,4.399023378057978,4.528949452305229
25,25,gu,-5.800346917769714,-2.9801962151251487,-17.004636970473534,6.354240268876689,6.527509012035522
25,25,hi,-10.55193101238381,-3.0360480145617585,-19.278398025142383,4.155139296116721,4.244766101858875
25,25,si,-17.733207084599023,-5.143378598774309,-25.624739609659983,2.9917576136683954,3.0275811634261873
25,25,ta,-12.621547140812968,-4.291673678803719,-18.913663548312815,2.8872643211994093,3.023973552575554
25,50,hi,-11.775905550157274,-3.615550033875504,-23.83148812562253,1.799373717883751,1.8491164502670854
25,50,si,-15.243769384663135,-6.452265409202908,-25.535991025509965,0.7297386766189199,0.9934859444948149
25,50,ta,-10.842597586592227,-4.206816393318311,-20.77842788437732,0.4203990995448014,0.5399095519467658
100,1,ka,-16.401286294717714,-11.176585592622375,-13.321071370015122,2.8348724951893596,2.857906271254023
