train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,rmse,loo rmse
cc_align,25,gov,1,flores,11.524419808457077,-8.037161229493696,0.0,0.0,0.0,2.2687548314952592,2.5519795032531816
cc_align,25,gov,1,bible,-0.3328695925054033,2.8596391275993205,0.0,0.0,0.0,0.7303753752041007,0.7835412808224842
cc_align,25,gov,1,gov,1.0619695965365203,39.25755440538135,0.0,0.0,0.0,2.0621561911650876,2.295485712364565
cc_align,25,gov,10,flores,25.296980028540506,-21.466550084197905,0.0,0.0,0.0,3.2813019141831465,3.69922334547504
cc_align,25,gov,10,bible,2.6171416679775295,0.1525852174841556,0.0,0.0,0.0,0.9230073784687097,0.9245769606183752
cc_align,25,gov,10,gov,9.90071768343272,46.33129553955004,0.0,0.0,0.0,3.110819953615336,3.3838007465004076
cc_align,25,gov,25,flores,29.210948940679444,-25.58043269698385,0.0,0.0,0.0,3.3343869642049606,3.761699517158999
cc_align,25,gov,25,bible,1.5530764704277835,2.959181283544144,0.0,0.0,0.0,1.0491972144828379,1.0507429046274237
cc_align,25,gov,25,gov,9.397083023606184,53.851395541295176,0.0,0.0,0.0,3.433302982311326,3.7336592299837035
cc_align,25,gov,50,flores,49.976444475272444,-62.75936918710735,0.0,0.0,0.0,0.24662928585716937,0.39465848270643505
cc_align,25,gov,50,bible,6.952897260082479,-6.668914903235185,0.0,0.0,0.0,0.476084838342288,0.7618356114966333
cc_align,25,gov,50,gov,7.927639313769571,63.60387931542881,0.0,0.0,0.0,4.317703014546312,6.90922996457061
cc_align,25,bible,1,flores,1.3197974297579886,0.7001505318522253,0.0,0.0,0.0,0.6832214894472033,0.7035345308241668
cc_align,25,bible,1,bible,9.886336044159554,15.3466027643955,0.0,0.0,0.0,2.603302392253009,2.6732846910478645
cc_align,25,bible,1,gov,2.403842908986003,-2.5852046605182815,0.0,0.0,0.0,0.47699431906700834,0.5106741935451042
cc_align,25,bible,10,flores,2.0718940231669354,1.414481412755018,0.0,0.0,0.0,0.9473496017048695,0.9955844510557127
cc_align,25,bible,10,bible,18.260365129816392,17.567419612745493,0.0,0.0,0.0,3.4251315108363634,3.47821848447164
cc_align,25,bible,10,gov,-0.14741639569282916,3.4020527473201363,0.0,0.0,0.0,0.8622517621079767,0.9453584712274771
cc_align,25,bible,25,flores,1.2544696778776914,3.36174982696915,0.0,0.0,0.0,1.0127900842651263,1.0379032205162542
cc_align,25,bible,25,bible,22.92407074221204,16.34519119884834,0.0,0.0,0.0,3.43303672901929,3.4727626095291058
cc_align,25,bible,25,gov,-0.24070616610301127,4.199961987014062,0.0,0.0,0.0,0.9203010471713903,0.9949772856705912
cc_align,100,gov,1,flores,15.46181681050027,-12.967638502957456,0.0,0.0,0.0,2.049214101188364,2.289326330462037
cc_align,100,gov,1,bible,0.3231707317381539,2.130321575747455,0.0,0.0,0.0,0.7116359717772451,0.7702575724505407
cc_align,100,gov,1,gov,6.854007074258333,31.574670256528112,0.0,0.0,0.0,1.7730102668401704,1.9326619018685771
cc_align,100,gov,10,flores,24.996667870300325,-18.409055528739632,0.0,0.0,0.0,3.1573516679462212,3.547723403801899
cc_align,100,gov,10,bible,0.36103632000982994,5.301669151507701,0.0,0.0,0.0,0.8995012167581539,0.9059216691510071
cc_align,100,gov,10,gov,9.269457200366109,48.561848743521196,0.0,0.0,0.0,3.1119805448355033,3.346120976032622
cc_align,100,gov,25,flores,29.316261342497025,-23.269914663416102,0.0,0.0,0.0,3.0356855745599884,3.335430033334275
cc_align,100,gov,25,bible,0.355037801080439,6.086150397775932,0.0,0.0,0.0,0.929049602919275,0.9291243041314303
cc_align,100,gov,25,gov,8.964157804240568,55.4588961925046,0.0,0.0,0.0,3.5517423213356483,3.7922266496509454
cc_align,100,gov,50,flores,53.92570781330879,-66.98744853233761,0.0,0.0,0.0,0.49290657542095495,0.7887537551919569
cc_align,100,gov,50,bible,7.208485933421824,-5.43158858578944,0.0,0.0,0.0,0.29882669528504724,0.4781854223361563
cc_align,100,gov,50,gov,6.571533724134392,66.32306706500303,0.0,0.0,0.0,4.467116369958814,7.148322661486318
cc_align,100,bible,1,flores,1.880715104553679,0.035513500247365964,0.0,0.0,0.0,0.678230707511165,0.6947499131528684
cc_align,100,bible,1,bible,12.45098416392853,11.875990933042162,0.0,0.0,0.0,2.645807190341809,2.7147197721735297
cc_align,100,bible,1,gov,2.420623555250549,-2.2109713527276336,0.0,0.0,0.0,0.5491386501630445,0.5851372693077223
cc_align,100,bible,10,flores,1.340439419357011,3.7190588434722867,0.0,0.0,0.0,0.9697020267028599,0.9957152862778806
cc_align,100,bible,10,bible,17.48392518707753,19.80752521019871,0.0,0.0,0.0,3.5035975785632503,3.560450354119303
cc_align,100,bible,10,gov,-0.7715582693713995,5.398522513136083,0.0,0.0,0.0,0.8640348033248137,0.92127780619628
cc_align,100,bible,25,flores,0.13469020621800387,6.5287522329389285,0.0,0.0,0.0,1.1298776572089824,1.1592048485208526
cc_align,100,bible,25,bible,24.922677713903102,13.364494891335278,0.0,0.0,0.0,3.4936464849953985,3.5345418731017473
cc_align,100,bible,25,gov,-2.0984175911540617,8.320751727927838,0.0,0.0,0.0,0.9354167194759678,0.975203001191338
gov,25,bible,1,flores,3.206706902573416,-2.222173409981324,0.0,0.0,0.0,0.896567901335369,0.9427743550972457
gov,25,bible,1,bible,15.12454330561746,6.363290826158355,0.0,0.0,0.0,2.2798683164882063,2.4174699657757244
gov,25,bible,1,gov,3.1954614360297584,-1.9804824809065107,0.0,0.0,0.0,0.8763196903136916,0.9288188445551367
gov,25,bible,10,flores,3.4129747256625187,-0.09755467941192451,0.0,0.0,0.0,1.3395433433452184,1.4582077229023878
gov,25,bible,10,bible,20.954427523757566,12.974553761369878,0.0,0.0,0.0,3.5750896439024764,3.6714124246160558
gov,25,bible,10,gov,-9.418169926030348,27.103790471838696,0.0,0.0,0.0,1.4091874179698887,1.574867201377207
gov,25,bible,25,flores,1.9652561676757676,3.084072389627197,0.0,0.0,0.0,1.5642777097205693,1.6750343961972691
gov,25,bible,25,bible,27.25318398479549,8.520375121403106,0.0,0.0,0.0,3.3356552089309828,3.382402422823138
gov,25,bible,25,gov,-10.840272796172655,30.68021345309571,0.0,0.0,0.0,1.7046675365572248,1.8093089793859047
gov,1,bible,1,flores,1.191791674926264,0.7885533245235583,0.0,0.0,0.0,0.9252398133615376,0.9666373946346933
gov,1,bible,1,bible,8.666925367373624,15.050873339284005,0.0,0.0,0.0,2.7018842600933737,2.793535397587955
gov,1,bible,1,gov,-3.5116198228010176,11.549306366457362,0.0,0.0,0.0,1.1125422438110146,1.1924986941535591
gov,1,bible,10,flores,0.0704794487839585,5.578921764461068,0.0,0.0,0.0,1.270935751247416,1.40278929126696
gov,1,bible,10,bible,17.69882553559572,17.38610102115594,0.0,0.0,0.0,3.7263423636230626,3.8265637973291673
gov,1,bible,10,gov,-15.965998960982265,41.07691561350218,0.0,0.0,0.0,1.8956114150896741,1.9996221816858182
gov,1,bible,25,flores,0.4131489974748734,5.53717285949575,0.0,0.0,0.0,1.403587272520238,1.5085009161397633
gov,1,bible,25,bible,20.90195147710733,19.33235981920078,0.0,0.0,0.0,3.548927293568148,3.6275270099558137
gov,1,bible,25,gov,-15.594867140081178,41.351062993575646,0.0,0.0,0.0,2.2048263453261283,2.2510960906604147
gov,10,bible,1,flores,3.161372096625102,-2.286011030948564,0.0,0.0,0.0,0.8925911398739419,0.958670434662313
gov,10,bible,1,bible,15.540136734610384,4.861359013814019,0.0,0.0,0.0,2.1548454994300745,2.3036753710358067
gov,10,bible,1,gov,2.1397692025667916,0.1477452716040667,0.0,0.0,0.0,0.962053375627467,1.0282735177695679
