model,multi factor,multi variable,overall linear,sliced linear
linear,299.57%,100.53%,100.00%,100.00%
poly2,299.57%,100.53%,100.00%,100.00%
poly3,299.57%,100.53%,100.00%,100.00%
exp,299.57%,100.53%,100.00%,100.00%
log,299.57%,100.53%,100.00%,100.00%
power,299.57%,100.53%,100.00%,100.00%
hmult,299.55%,100.53%,100.00%,100.00%
