train set,language to,c0,c1,rmse,kfold rmse
gov,ka,7.805718531721972,1.6284110719374587,11.238722375283414,11.493856321195965
gov,gu,12.618131904473504,1.0733229704960114,11.850888363794326,12.113576772158344
gov,hi,12.758250874165372,0.4939774908615393,12.17163988992191,12.366288832003972
gov,si,12.883917572257904,0.556678699111871,17.64268127943332,17.904201654156726
gov,ta,10.72244008189423,0.565566815498894,14.527086569954578,14.744239494307967
bible,ka,5.5193487924256495,1.350418298984385,10.115830762505066,10.342051127743817
bible,gu,7.37452902947667,1.0141510845296633,9.945067383581785,10.160732442569754
bible,hi,7.845429564547823,0.9578664057172789,11.826186510972605,12.079472189063052
bible,si,8.669218098825546,0.9911510510995923,14.719496346320573,15.02893663941679
bible,ta,6.684247501226699,1.1301837703870572,11.632253907355995,11.884799971473594
