model,mean,min,25%,50%,75%,max
linear,9.247483288533315,0.6868505464935409,4.144463268394032,7.825513013988209,14.710098519071922,20.47952253489229
poly2,9.23342967691306,0.7593223391663805,3.770290426932317,7.825503800514557,14.710109470858711,20.47966497820473
poly3,9.252033141053444,0.8231412289903508,3.730624620870754,7.825509486349997,14.710121411134264,20.479440715951927
exp,9.13899806552841,0.6163201251341891,4.249247003299415,7.754357296305362,14.55053930045625,20.206668181080214
log,9.32167644336542,0.574435809745364,4.609155301069788,7.946683951310887,14.710099684822696,20.479461985744145
power,9.245835392547791,0.6547466105408536,4.498331979201956,9.224449739880988,13.95187804432785,19.38669864608033
mult,9.375060215190583,0.5433902470593096,4.609162890232656,8.131253654977124,14.7072894140277,20.468402412680245
hmult,10.003794931005416,0.5503874672669625,4.609276908339009,9.62706457747688,16.031635138363406,20.479676810670007
am,9.195412123767204,0.7342975360184503,4.589765362873114,9.166620168724464,13.773817166607497,19.11940839898
gm,9.188557838103671,0.7502158601951948,4.58218975141602,9.157520583597691,13.769327907324119,19.114376498268868
hm,9.184304334289948,0.7768847929213235,4.550071375675614,9.159062582197535,13.772878007208822,19.123174235098805
