model,pareto,rawlsian,1k-flores,1k-bible,1k-gov,10k-flores,10k-bible,10k-gov,25k-flores,25k-bible,25k-gov,50k-flores,50k-bible,50k-gov
linear,True,False,2.1131276615073253,9.040781293166374,10.314667946944397,5.441166106603623,14.208342223225126,18.452375069891865,6.610244734810043,16.21536740661231,20.47952253489229,2.8221043705912767,0.6868505464935409,4.585249567661617
poly2,True,False,2.1131319221011724,9.040762676209882,10.314695871558152,5.441188958330559,14.208341368879356,18.45228425558077,6.6102449248192325,16.215413776796773,20.47966497820473,3.2085767230999243,0.7593223391663805,3.9575283282097815
poly3,True,False,2.1131216392636643,9.040748254653357,10.31469756239525,5.441166690275958,14.208344205881094,18.452368961075777,6.610270718046638,16.215453026893776,20.479440715951927,3.527217792078776,0.8231412289903508,3.7984268971347466
exp,True,False,2.1102360542640795,8.92053693129342,10.146404869266734,5.436246193849335,14.053377249551698,18.191793395944536,6.588177661317305,16.042025453169906,20.206668181080214,2.535792000605401,0.6163201251341891,4.820398670864087
log,True,False,2.1131310681202398,9.040751582632288,10.314690714268483,5.441163378719637,14.208349898459474,18.45237670855572,6.610230255569206,16.21534904391236,20.479461985744145,1.557560554668627,0.574435809745364,6.852616319989487
power,True,False,2.134005659625732,8.590767841431894,9.858131638330082,5.277818088480975,13.477877746142925,17.47937875329364,6.400293623974372,15.373878938882626,19.38669864608033,2.1598736513648995,0.6547466105408536,10.156553512425145
mult,True,False,2.1131307802264527,9.03024277715417,10.308297737472405,5.441173593568057,14.205141256063207,18.452240665970468,6.610288548317085,16.21373388792118,20.468402412680245,1.8824161430543416,0.5433902470593096,7.232264532800079
hmult,True,False,2.113615390551709,9.005833570344443,10.248295584609316,5.441164080934776,14.211110007295868,18.45328517424442,6.610240959697336,16.218190471409887,20.479676810670007,0.744289627692352,0.5503874672669625,15.96945002734791
am,True,False,2.359883558603406,8.554296835866541,9.778943501582388,5.333059297629683,13.30940040737702,17.21756195905446,6.437322031897215,15.167067444298931,19.11940839898,1.6169998290746517,0.7342975360184503,10.716704684823704
gm,True,True,2.364888027310487,8.54722569363188,9.7678154735635,5.321290326117864,13.305115927186993,17.212341638719078,6.423555274586592,15.161963847735498,19.114376498268868,1.7143133560679296,0.7502158601951948,10.579592133860167
hm,True,False,2.351135430720416,8.546472556225474,9.771652608169594,5.283050023994013,13.308568872700947,17.219669156572728,6.383369954381386,15.16580541073245,19.123174235098805,1.866268867041008,0.7768847929213235,10.415600102921225
