train set,language to,c0,c1,c2,rmse,kfold rmse
gov,ka,2.1047031279075563,0.07280891508518242,-0.9841794640382111,11.115903715068443,11.604936284781893
gov,gu,5.425718563035896,0.04226289892677966,-0.5591262490464001,12.205587160885923,12.494454798728372
gov,hi,3.5403625501385645,0.08327919248395417,-0.7876539079087436,12.353379783683362,12.422136617439168
gov,si,3.36851517557374,0.08992455471191443,-0.8617541960534153,17.67074819195657,17.966451599763175
gov,ta,2.5750043687486364,0.07322486655548915,-0.8421150553457484,14.659109520725892,14.90027909488347
bible,ka,1.3813453693088138,0.022237118170154543,-0.752432560839676,10.273732566783389,10.187530071069805
bible,gu,2.17395308331598,0.024953792018377666,-0.6450889192048949,10.290287959552167,10.616611131216935
bible,hi,2.4311942539327673,0.02460095599529923,-0.6153508351330307,12.154363211040609,12.031792190458127
bible,si,2.859114141485015,0.0324081165840151,-0.6235350979847968,14.98831602030605,14.878241378822125
bible,ta,1.8418341715657027,0.022416749556564194,-0.680198128386202,11.881829690487116,11.780955628310812
