train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.507005242913406,0.01063564807277296,1.4610388922441811e-05,-0.0012487166989451901,-3.4452965647958575e-11,8.74090815516318,9.177414336341219
1,gov,7.390054522827892,1.2489462417535753e-06,1.3190121647772638e-08,1.7463076627244632e-07,-1.3416798252997282e-07,9.944778736077414,9.69045241807054
10,flores,4.509352933547849,-2.564350936518246e-12,0.028713987884986122,-0.015392709701237451,4.959046627912707e-06,5.96700466803604,5.717230616504475
10,bible,12.633383767580122,-1.925663228368151e-09,0.0032083857145637907,0.007727136170408535,-0.03657894289068288,13.26299557575545,13.630310552810993
10,gov,15.645851295160723,4.071402212588481e-09,-0.050889854124691596,-0.0009592670785721338,0.00010669062266116125,17.114976794582397,16.97603203621104
25,flores,6.00787095632144,-0.0001494366229026849,-0.0002968472624318907,-2.4150248602426385e-09,-0.002478682864670785,6.920309360836455,6.845680066770721
25,bible,13.636163452365821,-5.269079659539018e-11,-4.963379797449816e-06,0.05036656545217955,-0.11132925261449149,15.30416217178105,15.442423272145621
25,gov,16.91439287119451,-4.2999895201669776e-10,-0.45074121939789585,0.019772812022257,-0.025836822789846635,19.097533617309903,18.825586316450938
50,flores,11.203764955220155,-2.8976337626422597e-10,-0.19134868620187723,0.0007273427733580928,0.0004052877736123702,4.5738564555705885,3.5640659124171026
50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,40.09766368052835,-2.7040157576567124e-09,0.06938026047560171,-0.02015952014119728,-0.19529452807037107,5.794368717105892,5.500975661482375
