train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2",rmse,kfold rmse
cc_align,25,gov,1,flores,36.75181547539219,70.20680664367575,80.07324892381003,-73.88569537691984,-86.35105854902365,-12.760048984202275,-26.85190499348652,-17.26308570851894,-32.43263349262963,1.4092349292615287e-09,0.6727578708759223
cc_align,25,gov,1,bible,9.800390149288889,16.663495935523184,15.637104237335224,-27.225900491491302,-28.9890472444087,0.7270439847511105,-5.123663852493813,5.155979960100286,-12.112670788812819,1.0833521338497147e-10,0.5072388205940058
cc_align,25,gov,1,gov,-12.867288585827868,107.73610848751737,105.25589320245388,7.010993449511032,10.489196642568949,-33.800192402927635,-25.869543712391007,-50.14383261519137,-20.28923702365392,2.1560201737347307e-09,0.6758564386279761
cc_align,25,gov,10,flores,13.83510595411611,72.95106106791583,72.97987548571537,-153.27490956193336,-155.17149033802235,50.39434724676336,-92.42309931974908,179.04445810659925,-168.23134638436218,1.7708593900439933e-13,3.3243207317862744
cc_align,25,gov,10,bible,1.7801239601524965,28.684921327200072,30.659936046219038,-2.518218754397723,-3.1478294474303623,-5.079751943575461,-7.079642424304521,-17.98056703066993,-14.738930918360149,6.114121925302138e-10,0.5155693568024414
cc_align,25,gov,10,gov,-29.904262023056084,132.33892229640142,54.31547497195198,19.692729128936133,23.65669839314459,-34.11307149396923,-31.581396588636103,-20.027371949821646,-12.379198054210194,3.5087360628934115e-09,0.3126299730257701
cc_align,25,gov,25,flores,48.950557914261125,63.588740142306044,54.59808179687281,-169.6438399821157,-173.73706043974062,16.379083455119936,-46.36201134472775,146.17252042503387,-130.18198669621194,6.820182620210108e-09,3.812399814122719
cc_align,25,gov,25,bible,3.738514252389167,28.970512211227696,30.433199018724952,-6.54373909671128,-7.525816538319667,-3.646122494870933,-6.226502561350922,-16.891787327813528,-15.122485658017528,4.7868412581887e-10,0.3737288251536306
cc_align,25,gov,25,gov,-7.106275397493838,66.256744000656,105.0028950475265,16.23410876970417,17.396082553268815,-27.436259295583632,-35.916335703525995,-26.423040916293147,3.0101274846465755,1.1998572128195068e-09,0.5934375050996642
cc_align,25,gov,50,flores,26.195231962055697,4.06806616173862,-8.7713216315274,12.468896751011352,3.945531855565002,-7.002059644033975,-12.042884601281276,-4.720840217914445,-17.047096341405112,1.0228106834948501e-11,1.6059974223149625
