train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,3.721984244144753,-5.542399558165723e-10,1.4711238998983976e-05,2.132893742716478,0.7032172997006163,8.814033066346541,9.140844338915528
1,gov,5.0797328522992276,6.224433702167609e-08,-1.7998378120738926e-09,2.4018649313216454,0.00010816179383225839,9.976290263314455,9.806086898658185
10,flores,2.721330858254182,-2.7844768554015656e-09,2.1503615290103173e-05,1.290504986407358,0.00027720194587896655,6.247363427796709,5.892049419995676
10,bible,4.502748078761551,1.0482998062145843,-5.215151634455993e-09,4.03271587273376,3.6096736170139705,13.4431632869284,13.687543508730585
10,gov,8.258959132879511,-2.106101500066856e-11,0.0006799917768518629,5.0256978669995105,2.1138746711234875,17.273489037009256,17.02846945646074
25,flores,2.368148117908861,-1.6237350287771948e-09,4.209334040392782e-05,2.0043740380614277,1.6769777796015184,7.071641931127168,6.680725128402783
25,bible,5.276113736285845,1.4363624925607763,-6.299051653268357e-09,4.760739777553392,4.296911466203604,15.239647827604673,15.686911961729422
25,gov,7.568475541343225,5.536031500738877e-09,-0.013564334635536341,6.4231046669972125,5.392263526825344,18.965130168039558,18.916604696023246
50,flores,4.669718873450404,-4.004340613017184e-09,0.06124227046126239,3.874550161836958,3.1589015719654765,4.8664751308365295,3.9373189549439727
50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,17.31427038457764,7.271486947661742e-09,-0.2466487918961351,14.136794853659076,11.277065792219105,6.2522556620577365,5.5011330330517065
