model,pareto,rawlsian,gov-1k-flores,gov-1k-bible,gov-1k-gov,gov-10k-flores,gov-10k-bible,gov-10k-gov,gov-25k-flores,gov-25k-bible,gov-25k-gov,gov-50k-flores,gov-50k-bible,gov-50k-gov,bible-1k-flores,bible-1k-bible,bible-1k-gov,bible-10k-flores,bible-10k-bible,bible-10k-gov,bible-25k-flores,bible-25k-bible,bible-25k-gov
linear,True,False,2.336975360165869,0.794331444643829,3.430501677795044,3.742697027661534,1.31006334035448,3.854076060116383,4.26588280919638,1.4757973514255671,4.589196552750869,3.0206873513900696,0.9319553630918116,10.252067432656036,0.558430728444588,3.19007600696006,0.3980376440020378,0.8365599055527044,3.701022774413149,0.7003643194045219,0.8554383390175081,3.859938614574374,0.8111842277170889
poly2,True,False,2.3351680126411507,0.7951376333529255,3.42856631441172,3.7535287468550615,1.307701470942638,3.8562393295025736,4.277019678431364,1.4695998940775905,4.589214394611902,3.057910000290708,0.954779029211038,10.042154358879204,0.5583099271906733,3.1931017044497203,0.3969313528273162,0.8335157793350229,3.697136425134873,0.7036921393166737,0.8540414475913561,3.837517677123812,0.8051503289854045
poly3,True,False,2.3325215066614464,0.7955924944192083,3.378227258358088,3.750800935400972,1.3027888180638254,3.8561687422017914,4.254328487772611,1.4765841876636845,4.595729251058529,3.141504431898909,0.9296156630815734,10.60788999904647,0.5627431175910157,3.2002464029404765,0.3965494098070681,0.8284525458865957,3.686152761356859,0.6975532693570298,0.8493103597471878,3.838241639904516,0.8107013082143535
exp,True,False,2.406494860312911,0.8148144082026535,3.4208433917145187,3.836882980270152,1.335751442533578,3.896322229776768,4.373369072523323,1.4962852226036554,4.647073645627754,2.7757308395028946,0.932315784280314,16.480527975828313,0.5597577554216929,3.263889243544692,0.3983049189004622,0.8410866109839337,3.730443207605424,0.7059667862589251,0.8590920531682166,3.8991609234487656,0.8168966860854973
log,True,False,2.4119810914168047,0.8135446730811744,3.4111760128616515,3.780274385083338,1.3208147784121913,3.8380267398032935,4.319760566181339,1.5027967539158236,4.575079815526957,3.133224848059571,0.797290414630368,10.612596930370076,0.5750174830126202,3.2477564384754145,0.4053508869600216,0.8655704537271955,3.733652325285713,0.7289667578186549,0.8876526116199001,3.8948829557362408,0.8401634851273666
power,True,False,2.426330256475329,0.8118374564837735,3.390901222230158,3.843615195550194,1.3400159589475849,3.860476221364872,4.376727679928161,1.5127744844689777,4.610423069777859,2.8533067802147136,0.7749016590088654,11.48643131052273,0.5686039691851472,3.270322115625948,0.3967595568591104,0.8625004773178839,3.750051206199614,0.7116111619558717,0.8864420521328661,3.921728637559218,0.824432475645302
hmult,True,True,2.394367662249418,0.8015538405086036,3.8158545684005487,3.7324276746842657,1.3241240212314265,3.868228530701913,4.230917590116081,1.485348890861786,4.592322499839785,2.728957927909279,0.8775504077183668,8.418798500891711,0.5592218581973574,3.247971448605994,0.3973916784220247,0.8736768627407369,5.06343927251227,0.6989958789610033,0.9099242198791508,3.899115641153188,0.8150367735822392
