train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3",rmse,loo rmse
cc_align,25,gov,1,flores,39.370340019426195,-26.212813365381805,-13.486480104064054,5.228952811851972,1.3788884412214248,1.414684888352663
cc_align,25,gov,1,bible,-2.340407337697051,10.239933133518882,-0.7458214346460383,-6.453704361175792,0.611010092660779,0.6142746299410436
cc_align,25,gov,1,gov,11.741254265698084,36.55174853308144,-0.5624936567939147,-27.730509364867057,2.0672042311618255,2.5646312275517364
cc_align,25,gov,10,flores,39.543489416235055,-14.1246043025715,-13.080801753040287,-1.238083404222535,2.7570515652293,3.033370052070543
cc_align,25,gov,10,bible,0.9197651396056381,5.11727667868379,4.62970301991671,-8.516744768268644,0.80643247289115,0.8551803007610925
cc_align,25,gov,10,gov,-3.3174333183653317,66.12057026005724,27.75155106204798,-57.7546893660699,3.400196072777973,3.6278552168002074
cc_align,25,gov,25,flores,41.61945017951665,-5.347147037831574,-35.00340373005079,11.631100859077678,2.9707462586584805,3.3360655155881336
cc_align,25,gov,25,bible,0.45982895844177696,7.977260681695286,1.8420752292150082,-7.67916490374437,0.9556847457887643,1.0282671562435752
cc_align,25,gov,25,gov,19.885150069668708,65.3434292795593,-35.74178817914627,-13.136792032169119,3.9291644574048616,4.15780424353758
cc_align,25,gov,50,flores,-18.90649982305009,81.81310562044379,-16.302217740121815,-33.704388244319595,2.653613888015115,5.231447505262506
cc_align,25,gov,50,bible,-0.3295305455668269,3.372348220215574,1.989275421158384,-1.5320930958071304,0.5715476066494116,0.6578258911380984
cc_align,25,gov,50,gov,-3.920472824032025,76.20752296111763,20.605707405308003,-51.7927575948044,5.307227776030238,7.445463248063629
cc_align,25,bible,1,flores,1.5419659932562457,5.256260676029776,-1.091070378398722,-4.557156290887299,0.516074929960111,0.5397530299436346
cc_align,25,bible,1,bible,-8.794836587869932,30.730769839747552,61.17394164294697,-66.95987468415515,2.1215560327269447,2.3643177276484377
cc_align,25,bible,1,gov,3.6414469620051264,1.194342302429913,-3.605119344281644,-0.6806699142114645,0.33015148038438363,0.3316624790355404
cc_align,25,bible,10,flores,3.250428839322211,6.059679673738892,-3.138330808849715,-3.971777682320337,0.793305321634321,0.795822425754222
cc_align,25,bible,10,bible,34.3372725777531,-15.769360767617307,44.157103553025465,-36.82501520762094,3.175741383257449,3.3330666308635934
cc_align,25,bible,10,gov,4.045433606654612,0.49736379172245104,4.887304178105514,-8.530101576482576,0.587650689894374,0.6011100842053259
cc_align,25,bible,25,flores,0.13128871559866884,10.429381677709067,-3.0200019250865724,-4.990668481992787,0.9307702903151419,0.9441045139884323
cc_align,25,bible,25,bible,10.114000562919657,38.0380483855897,21.543631320257425,-39.595681866641364,3.24304383771394,3.378954491475259
cc_align,25,bible,25,gov,0.4451241819718845,6.394410336982951,5.448690045190137,-11.038224599073107,0.6887186169498645,0.7066352194260718
cc_align,100,gov,1,flores,25.1673153310915,-18.935053131707086,17.886855537816125,-17.66911822584551,1.4234933555634985,1.5004444259580767
cc_align,100,gov,1,bible,9.592041419519546,-7.3326099811450565,-2.5281902222978094,1.2187586810994855,0.5747463208523772,0.5756156149812098
cc_align,100,gov,1,gov,-11.30124731692175,78.96886648230739,-16.729074322306865,-28.788544127225638,1.8216293073327512,2.1998484050524274
cc_align,100,gov,10,flores,62.188372117227644,-51.33924526165479,-3.8335972974026244,5.334470512768669,2.4743349274771473,2.6614533003730885
cc_align,100,gov,10,bible,0.17438347364646134,10.065370224761702,0.8964657360908865,-8.586219447962208,0.7489993324429615,0.886566386258273
cc_align,100,gov,10,gov,57.9207556529438,-5.366539765849488,-24.618643418590693,5.464426413051541,3.485589381056923,3.7769476007607037
cc_align,100,gov,25,flores,39.681589355621696,-13.348064372020946,-10.352778098811243,-1.5307466338482483,2.6896716032507353,2.9084930175685333
cc_align,100,gov,25,bible,1.6520280404444871,8.85304071810418,-2.3226694840158544,-5.082399274604253,0.863326898302916,1.034085849911106
cc_align,100,gov,25,gov,30.77386066324665,33.295128772229255,-4.937678939956698,-22.231310342544226,4.12617659987253,4.396513770242866
cc_align,100,gov,50,flores,15.986742669109999,20.643324114898462,0.5454863287611655,-22.575553174404995,2.9802125203861998,4.10719894335186
cc_align,100,gov,50,bible,4.054529840148895,-0.513057179831617,0.6698178807459013,0.08870942808577842,0.4082482904638644,0.42604107718802886
cc_align,100,gov,50,gov,45.86209204809092,30.147131807020564,-47.7603355712967,12.9511111374005,5.511351921262237,6.01842593503811
cc_align,100,bible,1,flores,-0.4500867610876971,9.990947993026408,-4.614138327781578,-3.52672292739188,0.5416025603090651,0.5561774324919695
cc_align,100,bible,1,bible,6.960968987660758,31.580689257638287,6.01168160298095,-27.553339851658635,2.2229110043664217,2.3700911979251753
cc_align,100,bible,1,gov,8.486649481186245,-4.359662921333763,-7.009831360520353,3.632844800667871,0.40783983784487465,0.4090639726233586
cc_align,100,bible,10,flores,8.036729831587472,-1.0264905186518183,-3.830746917987763,-0.3794924536677804,0.8748333174572942,0.8951722315485997
cc_align,100,bible,10,bible,22.43513500153996,24.251317308615782,0.7895422008714332,-21.125994183247627,3.29560313144651,3.4568771099762996
cc_align,100,bible,10,gov,0.5633538368498581,5.360732829409402,7.1199064853576886,-11.643993151616943,0.658280588604384,0.7052186325177648
cc_align,100,bible,25,flores,0.06709691247226379,11.751796900439018,-1.8665500729974522,-6.902343739913829,1.056882207249228,1.094531866051686
cc_align,100,bible,25,bible,14.791820573895176,49.28840888575603,-16.069350270238427,-17.56087878555941,3.263484844967703,3.373326795826199
cc_align,100,bible,25,gov,-0.09788298867687262,7.527384695283528,4.938808750504133,-10.66831043876574,0.8366600265340758,0.9186947304499472
gov,25,bible,1,flores,9.826606205065001,-7.24011086972321,-2.285407009630502,1.1989115856651775,0.8058122196475662,0.8156796724857062
gov,25,bible,1,bible,70.7411246369686,-67.05332483077989,-3.148680591605765,16.310880502458467,1.8172323278363396,1.8393838769266322
gov,25,bible,1,gov,9.448708962666487,-7.942691100570723,1.2082314294221184,-1.1142494567237684,0.772873426463447,0.7831560082980492
gov,25,bible,10,flores,7.431888886085629,-1.9632474748895605,4.47806702841159,-7.396708437655155,1.164903429473877,1.1857487061395442
gov,25,bible,10,bible,7.85505890466883,50.2140422341663,-5.009531670787292,-27.00956946804782,3.265118680844542,3.3199397770148438
gov,25,bible,10,gov,-0.5109399972625024,18.21401794982392,0.8047452586063448,-14.357823247198706,1.7071418609281814,1.8556220879622372
gov,25,bible,25,flores,7.162825893725841,0.17590120838663936,2.315989000549086,-6.854716076087166,1.4142135623730956,1.4198591454212472
gov,25,bible,25,bible,14.993291075627205,32.07463081722522,18.59312016479268,-35.511042057645064,3.051283882784309,3.1227124598473623
gov,25,bible,25,gov,0.4374626732369098,22.217040046210823,-6.150200996122535,-12.004301723325195,2.015936506936665,2.2847319317591874
gov,1,bible,1,flores,0.2780009574204545,8.578702150085316,-1.2147691733053745,-6.741933934200393,0.7155417527999328,0.7266360811720126
gov,1,bible,1,bible,9.164868439474153,30.502060835895705,1.6045477069963265,-26.771477028626038,2.0513410247932944,2.3160312091839064
gov,1,bible,1,gov,2.7587272005256303,8.877865194793792,-1.3351440667772132,-8.551448332846777,0.9414527780687323,1.0541979282893055
gov,1,bible,10,flores,-3.5406035863173067,21.006481944037144,-4.0377133500368085,-11.378165007683023,0.9782637681116491,0.9828529900244505
gov,1,bible,10,bible,38.52311425815567,4.756022408527132,-5.220913993583628,-13.408222091247312,3.2399074060843405,3.4038217647345794
gov,1,bible,10,gov,-5.475144334626041,31.48162737420762,4.772501175862783,-26.27898421544434,2.3437861108329274,2.89988505519328
gov,1,bible,25,flores,2.0904551236199342,8.192807646070705,3.8658425147186026,-11.699105328671337,1.1909380056633234,1.1947105617289084
gov,1,bible,25,bible,17.470045417684787,50.78555092002036,-23.563308096735113,-15.442288240970017,3.2302218706047676,3.3946035087900484
gov,1,bible,25,gov,3.679902869622771,21.526492168109737,-1.0335460091684807,-19.272849145797238,2.5521232990067997,3.2571971401458826
gov,10,bible,1,flores,9.844102168148556,-7.164984748764892,-0.7025444710052882,-0.6765729378683187,0.7438637868140536,0.7545418035691153
gov,10,bible,1,bible,-6.633486224346459,22.5633509992355,65.19291219386798,-64.67277785459008,1.6450937156690084,1.6599196771943001
gov,10,bible,1,gov,4.636013363047712,5.418266985533009,-7.977366197106953,-0.5269141514737652,0.7914122398177419,0.7920437700146711
gov,10,bible,10,flores,5.31297539718329,0.7135587661193468,5.131668038208607,-8.658202201511243,1.0881176406988353,1.095445115090739
gov,10,bible,10,bible,14.000928770250816,4.504779277981449,71.72198073250777,-64.67768878074006,3.041874422128603,3.100645106213178
gov,10,bible,10,gov,-0.12645121374049229,23.941331772650734,-5.653697502253866,-13.911183040335008,1.785777141750896,2.068332767185447
gov,10,bible,25,flores,11.787202169843887,-7.317025123492503,2.212710342713234,-3.832887412346933,1.284133949399361,1.2845232578665526
gov,10,bible,25,bible,64.88305668442626,-45.698266424565716,14.74608907480156,-3.9308793346621247,3.2362529773406927,3.355194838344666
gov,10,bible,25,gov,0.5433527916696335,16.019235338268132,8.856529132545822,-20.669117328438286,1.9925695303635793,2.4485369869579228
gov,50,bible,1,flores,3.9827223188420877,-0.23299264325942315,-1.024394861266251,-1.225334819778977,0.6940220937885673,0.8307964070386573
