train set 1,train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
bible,1,10,ta,51.537143453224544,-189.85265926544477,196.00059468081656,5.9801082239386945e-15,16.0701487756129
bible,1,25,ka,55.586975591577584,-170.22503718380702,130.85566874349456,5.66975148377389e-15,6.685502535656469
bible,1,25,gu,66.57249455180252,-203.9339065854065,182.87760579447297,2.9007785717557726e-14,6.894349857711367
bible,1,25,hi,54.68622999510077,-159.55713140685938,139.33230234251053,2.2932668186396043e-15,6.8238017558501145
bible,1,25,si,66.30110718721599,-227.1761921878528,222.79338680487282,1.8460441789282214e-14,19.566579776302397
bible,1,25,ta,54.83853704240685,-192.86924150982435,193.59304283406053,7.674738709330906e-15,16.463371838771764
bible,1,50,hi,54.38944118838823,-141.2199017726963,104.38138574095723,1.1234667099445444e-14,5.5764778724758814
bible,1,50,si,69.73987256661809,-234.0808428793857,225.20961300055438,3.697781635498623e-15,20.051927108223243
bible,1,50,ta,56.46448796633229,-186.98205326396774,180.22396232969743,7.674738709330906e-15,15.709302842728569
bible,10,1,ka,41.47762319245333,-148.39121292207614,138.02737958968177,2.049444602883829e-08,5.341898571508746
bible,10,1,gu,58.786024943451096,-213.57812603159357,215.24249410163918,1.8374778024090335e-14,6.817855767589884
bible,10,1,hi,43.867536693780366,-151.18370108844724,145.4629692910325,1.210227973301041e-14,5.704277861173888
bible,10,1,si,44.73457952954396,-144.46302064994094,121.75971276677986,9.262214823830477e-15,9.126893572099426
bible,10,1,ta,43.10385805078902,-152.2055513453813,140.726016449678,3.372350028828006e-15,9.650783343419997
bible,10,10,ka,50.29224778613323,-156.17486000772487,128.83901045766018,2.9007785717557725e-15,6.309923764945133
bible,10,10,gu,64.37031240936521,-209.9727995970439,207.14227672845905,2.218668981299174e-14,7.433318374489216
bible,10,10,hi,54.523309525697556,-179.51786397956613,184.5935076879376,1.8488908177493113e-14,8.19872269228572
bible,10,10,si,62.31927252619757,-220.04585430019188,221.58495271320953,1.0558993383426109e-14,18.876066929827584
bible,10,10,ta,52.466553531627014,-191.234540772604,197.3992813835325,6.153480596427404e-15,16.191361096463982
bible,10,25,ka,55.81353347451988,-170.83592587403268,138.70664701662915,1.2178088937988185e-14,6.882885011301921
bible,10,25,gu,67.58566283702133,-212.66895181142564,202.65725333438965,2.1117986766852218e-14,7.40789521278046
bible,10,25,hi,56.3083875778335,-174.56292830519567,169.62014927150912,8.51910812704787e-15,7.862907628855236
bible,10,25,si,67.53858782026415,-238.9829206979301,245.140021178559,2.313814169310045e-14,21.01743391762415
bible,10,25,ta,55.407183872862696,-193.82967942788287,196.21456935906218,3.2431690370603295e-15,16.617344690198493
bible,10,50,hi,56.03505189383203,-157.692120107861,138.8928672654867,8.51910812704787e-15,6.740266797151348
bible,10,50,si,70.6418094955424,-244.4379418163814,245.50508509059458,1.7644747204967998e-14,21.357015888070077
bible,10,50,ta,57.306369587824456,-191.36194052301533,188.50283315604375,1.988673596020223e-14,16.24270718749679
