train set 1,train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,25,1,ka,19.483693359036806,-21.839975774042312,-29.09044923718433,1.8967052950348688,1.911724225468672
cc_align,25,1,gu,16.553946603201506,40.32945499142948,-130.39149822445964,2.932054903814387,2.9992570843656274
cc_align,25,1,hi,22.36651140471963,-4.838401018868703,-68.52120900492064,1.6177602063773862,1.6597755648888801
cc_align,25,1,si,43.03819387960337,-125.52643909817004,90.70915278430154,1.388920131586158,1.3892605389404398
cc_align,25,1,ta,28.762439937474447,-68.981600235453,33.995895466957876,2.449753992017796,2.450996749476834
cc_align,25,10,ka,31.61509382738033,-32.10564851037687,-55.22617495828787,2.816178222988276,2.8309912487911815
cc_align,25,10,gu,27.12054495139656,32.3902290075181,-151.82660724410576,3.82548203526547,4.048239407315033
cc_align,25,10,hi,35.13876063886784,-35.603639844199286,-54.61576891796001,2.4782266022741055,2.4902836919393105
cc_align,25,10,si,56.36567524489352,-172.72981756537467,133.89402549421834,2.3357142819863443,2.3363851920315417
cc_align,25,10,ta,42.714109279183155,-124.03546831535907,91.25010249380185,2.6418554130112297,2.654062170202161
cc_align,25,25,ka,36.3200164433272,-40.801420937270464,-55.38013472187044,2.761715744725753,2.7853989632784053
cc_align,25,25,gu,32.289739079143935,18.004863957036964,-141.61751925039883,4.049248804101886,4.299201039244187
cc_align,25,25,hi,39.694861456106054,-48.5882795524983,-45.881500745898904,2.3949582507739913,2.415950815597261
cc_align,25,25,si,61.990091711846695,-192.2100942871596,151.1623493848658,2.366672436339336,2.367184639201789
cc_align,25,25,ta,47.04659293189396,-136.22139123323004,100.65300453942605,2.549582985491232,2.5653827109176857
cc_align,25,50,hi,49.518153794377874,-86.99767809199037,-1.6051622055896086,6.107639483109542e-14,1.9292216653930214
cc_align,25,50,si,66.14432382516782,-180.19091644008145,122.13847578150553,1.6020073277981674e-14,13.379740533566519
cc_align,25,50,ta,53.55081817491474,-139.57924487274937,92.11770810969558,2.0320207530522012e-13,10.058337370670522
cc_align,100,1,ka,19.286739857126538,-3.3336421852005493,-63.24509932383496,2.1994804958125718,2.216674577322995
cc_align,100,1,gu,16.06003955801618,47.76914139826535,-141.7450567340449,2.9752692463510635,3.0620240259063647
cc_align,100,1,hi,21.61102129104318,11.713508697780169,-96.8301319863574,1.8437566536542946,1.8899425391823803
cc_align,100,1,si,44.29413013094418,-125.1933813538534,87.04495087464748,1.6697969621793796,1.6698236289354798
cc_align,100,1,ta,28.863641301098845,-60.24107008408521,19.038983375869616,2.805232621524603,2.806630231613621
cc_align,100,10,ka,31.350875626612954,-25.430861809947178,-66.3523283228023,2.727068195208556,2.747482021471394
cc_align,100,10,gu,26.821243482378122,39.850443276928836,-163.0027598000872,3.780117113021513,4.007712011601713
cc_align,100,10,hi,34.019341878026594,-19.78396497765998,-79.88746208043437,2.528454931925407,2.5485260182883422
cc_align,100,10,si,56.430354560673855,-166.36756439599213,124.64923582397395,2.6274828157529826,2.634016601245494
cc_align,100,10,ta,42.62379338902561,-114.72101189240551,77.32268650531458,2.8279350366002083,2.839098823404703
cc_align,100,25,ka,36.11410324048242,-33.798867514311375,-67.61835090188858,2.6597890039133927,2.6824236545019966
cc_align,100,25,gu,31.736178607144133,24.8365950668073,-150.85968565309975,3.847704778497811,4.11983133222505
cc_align,100,25,hi,38.93379617501553,-34.39255686616129,-69.37192103664289,2.312158458217576,2.3315201155005667
cc_align,100,25,si,62.107362805728,-187.23943075288875,143.987089148956,2.6036036651341368,2.61076413297184
cc_align,100,25,ta,46.46062584066886,-122.71182414589988,81.03325575558179,2.8748342148828,2.8863918503030592
cc_align,100,50,hi,45.663475917715736,-54.04972643929037,-47.786889039563725,1.384533134196166e-14,0.14317645348731728
cc_align,100,50,si,66.0898042994865,-174.90468405488954,116.7704260358255,1.933021250373844e-14,12.929779738826566
cc_align,100,50,ta,52.36246237893437,-124.06659181522431,71.34821110031959,4.364744077387291e-14,8.544236293594459
gov,25,1,ka,27.016676661388342,-102.79998482071797,104.329878992789,3.9525187098571223e-14,1.1470381626500867
gov,25,1,gu,26.824900292897695,-92.95123242544314,92.48933727958901,1.730049060352352e-14,1.4701958513192508
gov,25,1,hi,31.14307506133606,-115.53582395988678,116.44716703016154,2.2223696026474127e-14,1.3868683419582495
gov,25,1,si,47.52312712365637,-174.54809390580758,162.9667544551654,8.740964797497666e-15,4.081457121272688
gov,25,1,ta,27.932065017374427,-102.10788549069684,97.30568650970802,7.82425032610722e-15,2.8224971252361963
gov,25,10,ka,37.50018085769157,-141.92809420022553,145.38375485252058,8.85584110408053e-15,1.9690157757659836
gov,25,10,gu,39.85738936899002,-176.7059466527787,221.52698614051002,1.7830057341581036e-14,3.9816091484788676
gov,25,10,hi,42.55915164630737,-163.7142694673102,172.42637848364467,3.189620062170464e-14,2.5332588270320637
gov,25,10,si,63.076481573293,-264.5986058207282,287.49414495968114,9.300422891578509e-09,8.391517133363397
gov,25,10,ta,42.87821668599643,-183.72565547081814,206.6665057997786,1.0074725958478317e-14,6.320662991382779
gov,25,25,ka,41.92194713230752,-153.50311267158375,150.52670149259802,1.5011704275602277e-14,2.0832394957697207
gov,25,25,gu,44.243259393082326,-193.6592208185882,241.2812705057723,6.238360200477627e-15,4.402464419362541
gov,25,25,hi,49.48751809475591,-203.671373147716,226.418055610807,3.1564716429807156e-14,3.2808886418444443
gov,25,25,si,68.52297187493654,-288.02542197315273,312.7031442748477,1.0217269357526366e-14,9.08941221752512
gov,25,25,ta,48.276126379353265,-207.57985378432906,234.74452735048015,2.037816302295411e-14,7.186562448521555
gov,1,1,ka,22.30169567655373,-92.69849858132328,99.29976798815113,7.152685972697323e-15,1.0690183541586773
gov,1,1,gu,28.893837077650087,-130.3577316347861,159.14295026690684,7.292624540839181e-15,2.3481847694391
gov,1,1,hi,31.039392673763597,-126.68247293137222,139.0295107320935,2.975618637698415e-14,1.603704637980314
gov,1,1,si,47.701557734246435,-189.3239348190232,191.447860217933,1.0135105936851404e-14,4.634621946189938
gov,1,1,ta,28.011155631021172,-115.19076839214635,123.10424513959404,4.650584531519603e-15,3.4169558617791704
gov,1,10,ka,34.33679079443783,-129.31604547297061,128.37170309901902,6.583163827566449e-15,1.7582985326259646
gov,1,10,gu,42.48010057439071,-214.32582175655145,288.12804741957774,4.2285750773764915e-15,5.066552313558615
gov,1,10,hi,45.83138218886806,-208.10849937305076,250.4671245843733,4.1918038217109294e-14,3.514624118406686
gov,1,10,si,63.024103553747196,-273.12354826137056,307.48478865877723,1.1523523146685812e-14,8.861685168261596
gov,1,10,ta,43.68996433410292,-202.89697895236785,243.65064376650875,7.977141072328375e-15,7.289526181296416
gov,1,25,ka,39.14750057338561,-137.32914304276403,125.58125785433494,1.46442863945216e-14,1.7845473293672096
gov,1,25,gu,47.218642947172285,-230.7660792136768,304.2674891618168,1.2349619765107303e-14,5.453753441859218
gov,1,25,hi,51.75096817411261,-245.24149815219337,303.8390480578515,9.929768882169866e-10,4.246754118643824
gov,1,25,si,70.4090455367089,-305.42028371313626,342.4469938863294,1.6005704575885547e-14,9.840180147644963
gov,1,25,ta,49.60405158417795,-228.914978009709,273.96426027070993,1.8504901277085687e-14,8.229868457459855
gov,10,1,ka,26.646838116677067,-102.12591777108959,103.66209815219293,1.881492309891085e-14,1.1395333192445978
gov,10,1,gu,27.533758352566625,-102.64513854417498,109.04345796683448,3.09803287267727e-15,1.6907517273527943
gov,10,1,hi,30.95885177193391,-116.959657350162,120.16791990592696,6.974698738198594e-15,1.420685125885944
gov,10,1,si,46.16399930052642,-170.11687103922424,159.94527290058141,5.341392084980586e-15,3.993596220215111
gov,10,1,ta,27.6436092903198,-104.54624729802651,102.71163939631326,2.1906400526089374e-15,2.943536310142365
gov,10,10,ka,36.375349162144644,-134.3274845431455,133.4295406593252,5.505034644962785e-15,1.8275981019763825
gov,10,10,gu,40.93625014758022,-190.0038935661844,243.96553931951425,1.0707370587222635e-14,4.351613713538413
gov,10,10,hi,43.775522841542134,-181.37120352669695,203.93452753568212,3.5921848862708473e-14,2.9279897448244747
gov,10,10,si,63.030115266548975,-271.84785895349785,303.3189585337064,1.0607867527589101e-08,8.769238917449078
gov,10,10,ta,42.56108806518211,-186.32739629096355,214.05395290515025,6.744700057656012e-15,6.499628800326886
gov,10,25,ka,40.7847238528466,-145.4161278571742,138.05397967346696,5.285718846720614e-15,1.9339880592506944
gov,10,25,gu,43.74193609148534,-191.0907603402851,237.19389671244255,8.010036638990837e-15,4.3329434691013855
gov,10,25,hi,49.47997596826862,-208.98217805128965,237.6964029457287,8.732499880982792e-15,3.4174320692144207
gov,10,25,si,69.71610059678032,-299.3811633781504,332.6242067858762,3.333135323064844e-15,9.588936453825347
gov,10,25,ta,49.03565180813486,-214.8601696520431,247.65078198480438,1.4145943457085615e-14,7.53314906770756
gov,50,1,hi,30.230449153905926,-103.88060675219712,97.99084631051107,1.208325311638615e-14,1.1978860573909411
gov,50,1,si,47.91452718345513,-174.27648242267358,161.65465350809973,1.0218877743110123e-14,4.060393294352029
gov,50,1,ta,28.132065017374423,-102.10788549069687,97.30568650970815,1.0077987971177841e-14,2.8226977549027414
gov,50,10,hi,43.40071316130387,-175.52530998893013,194.1269874755748,1.0281408527026615e-14,2.8032356077306906
gov,50,10,si,63.480019648404706,-269.91879407451586,297.54269649934884,3.748863790073466e-09,8.639759427796996
gov,50,10,ta,43.419580599106446,-189.26559514064613,216.87415510968103,9.759864461427586e-15,6.591222923501153
gov,50,25,hi,50.12694228366273,-214.7468448843859,247.44988434048003,1.6427299473570038e-14,3.542108920409489
gov,50,25,si,69.73452492887976,-294.1001863888899,321.579609691334,0.0,9.323847294113062
gov,50,25,ta,48.74646069023773,-212.50064410361512,244.39969059788683,1.1072584718714006e-14,7.439728908328271
bible,25,1,ka,43.928257265763044,-157.2528511548302,147.79718267484378,3.372350028828006e-15,5.690208978626062
bible,25,1,gu,60.22680267207106,-216.87038740883386,216.70096341198555,5.353685293611317e-15,6.894728908071705
bible,25,1,hi,44.896675554632175,-155.77001946679206,149.74063745940558,2.3835400292528443e-08,5.873661332408021
bible,25,1,si,44.7876728749803,-140.71758716070903,115.14421155191758,1.1312275526696449e-09,8.790210044368711
bible,25,1,ta,43.642689995432576,-151.1415946143682,136.59495386635166,2.22656075150498e-08,9.49227763705194
bible,25,10,ka,51.70965001826313,-163.72702753176196,142.27247003262164,8.331852114593072e-15,6.779122169348236
bible,25,10,gu,64.23993039269898,-208.5923099018047,206.81585395324734,1.1960216447877389e-14,7.40467714039561
bible,25,10,hi,55.33412945078484,-183.81786466517494,190.2285157291912,6.486338074120659e-15,8.421759181121061
bible,25,10,si,62.28200312900011,-216.25399212369473,216.12216947220844,3.076740298213702e-15,18.4928803459366
bible,25,10,ta,52.63125857082826,-191.9254815261837,198.09862473489056,6.153480596427404e-15,16.249096123382945
bible,25,25,ka,55.72942211370437,-168.44942279659907,135.89942160849625,4.2285750773764915e-15,6.769033957356816
bible,25,25,gu,67.91027106301696,-215.8640663082311,210.21823173345288,1.0255800994045675e-14,7.601701712976127
bible,25,25,hi,55.86022463841964,-171.9549186526167,168.4839635219847,5.801557143511545e-15,7.780426941618068
bible,25,25,si,67.99537848577855,-238.43139496204978,244.0346038073572,1.4862067603866e-14,20.952183920672503
bible,25,25,ta,56.02173529194033,-197.77259800461502,203.52166492689273,3.2431690370603295e-15,17.088857953858966
bible,25,50,hi,55.13450825530288,-152.00427854480606,133.50425661013844,1.0458905879232634e-14,6.492495753944144
bible,25,50,si,70.85057721887983,-245.93190052130933,249.19507128834667,1.656875357463295e-14,21.578457133440125
bible,25,50,ta,57.807651693317766,-195.2120652278189,195.69731139780734,1.0255800994045675e-14,16.705829760964182
bible,1,1,ka,29.571677625553047,-116.59951311144341,117.89421003744364,6.108244889215317e-15,4.364435725825162
bible,1,1,gu,58.94351622496143,-223.03216067850553,234.17819254384247,8.51910812704787e-15,7.263866520291941
bible,1,1,hi,48.121297082723856,-183.90341415799557,198.48325769859193,4.499714424346576e-15,7.339929439429616
bible,1,1,si,44.23305146891542,-152.41240918099754,140.93697025911638,7.865102837921511e-15,10.002046824718015
bible,1,1,ta,42.673123551599964,-159.0525439124464,157.87630683090703,1.0571437693441228e-14,10.402321357545533
bible,1,10,ka,50.78030536260361,-170.6746619633303,149.08653457145428,3.487349369099297e-15,7.072488794402273
bible,1,10,gu,62.71948865904997,-201.14618920481527,191.11772645166175,9.39959687352353e-15,6.987651280420005
bible,1,10,hi,53.870986444196554,-171.5259951108881,165.02327010510075,1.0306952438512701e-14,7.573797426926914
bible,1,10,si,61.11048958159691,-211.96709983123918,209.05438211308797,1.0707370587222635e-14,18.01148772834975
