train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,41.19853700883282,-96.81650012277933,62.66973135835718,2.092098232584126,2.2006253982298847
gov,1,bible,-26.59444446168203,84.22294736608228,-63.999742234980424,0.7149397490039694,0.7760593771400489
gov,1,gov,79.29781662697373,-201.72014675679375,165.07734538209414,3.328215009105551,3.333746877495794
gov,10,flores,22.410217496339524,0.19067481111068207,-22.935514807769714,2.79271598449619,3.3374760073156238
gov,10,bible,-8.854534005437918,42.55751897672813,-38.679111075059915,1.0493131846564152,1.162454322787299
gov,10,gov,180.6329450718507,-481.27471406874747,388.8233312503101,0.7266968029183093,0.7294163068274312
gov,25,flores,10.320227036935849,45.57383032748594,-57.940563449837256,3.2194373203300466,3.8455133131132717
gov,25,bible,-17.08498665014748,68.52059765232899,-57.89466636679178,1.212540028764795,1.3147064759308367
gov,25,gov,211.10351653131784,-569.8589807988803,460.81752210395445,0.7214051345682779,0.7749788465291546
gov,50,flores,229.82518796992048,-600.946115288208,412.90726817041724,9.214253615599407e-14,2.1482386272044174
gov,50,bible,42.171428571052424,-107.85714285602035,71.42857142774861,3.5712562147393004e-12,0.3783784458677839
gov,50,gov,215.23045112781475,-582.4373433583813,474.3107769423447,8.605099862101871e-14,2.1501298821510346
bible,1,flores,-1.9033515470094327,11.375598995886218,-10.100436787692866,0.5241046545232716,0.5406045238174297
bible,1,bible,258.0310279725734,-732.7207617047999,551.3999185172867,1.4628119733138434,1.48471532291782
bible,1,gov,3.923063735556271,-7.0857500317321715,3.2908477364778634,0.34489381073654196,0.36456872934814694
bible,10,flores,-20.8619455537028,71.94140464783318,-55.256386879083394,0.753173447400329,0.8340984727408454
bible,10,bible,314.82335221614045,-880.9892008416737,668.5443375550836,0.4834873794397697,0.5519316510482404
bible,10,gov,-2.6879360569477333,16.255273368306835,-15.14543820952553,0.6134268300199732,0.6601588636929705
bible,25,flores,-28.449330607224965,95.80471655495876,-73.04697901514746,0.7456796726081005,0.8247728897392147
bible,25,bible,332.46883912389745,-921.9097981190281,699.1979413466463,0.6229391079101193,0.7504388382452805
bible,25,gov,-16.145598779874117,56.14525466003609,-44.05636283321339,0.7230472078091306,0.7962399441484708
