train set,train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,flores,14.340803308666787,4.543434627357173,-4.274194047420218,-12.21005537446273,1.3043516908357746,1.3961555382523239
gov,1,bible,3.1941537422136435,0.9701578619778359,-1.0314366055160207,-2.8328747579105436,0.6703233050800038,0.7166217536112655
gov,1,gov,30.413518412386114,11.553637788319358,-5.420304753147023,-20.6968570083093,2.609661536167663,3.0185202175513055
gov,10,flores,20.584051642231284,7.591864488867171,-4.1011238465003235,-14.624798228861852,2.833078419914824,3.124406738523552
gov,10,bible,5.932476168565896,1.9075394865267883,-1.7149083870390553,-4.9751093202766805,1.0248577137035666,1.102051364170297
gov,10,gov,35.45159661546389,16.01198640135802,-1.4837396284784787,-17.229843008768142,3.3783131885602478,3.675785178610645
gov,25,flores,23.815529666195445,8.902481519409259,-4.519240555177433,-16.598774538609085,3.218902504480948,3.5447696722249753
gov,25,bible,6.817737541876721,2.2239847847740086,-1.9103919216274567,-5.6313306073347755,1.1598850517759935,1.2418737035540839
gov,25,gov,39.84215009890324,17.895824180564382,-1.8558556237026635,-19.6321192888076,4.03017782899634,4.358292119884095
gov,50,flores,23.19564594144727,8.67111721445816,-4.400950537775787,-16.16581508488901,2.7352635461088983,4.150947811295507
gov,50,bible,4.087758940078834,1.4583406963500205,-0.9081355316423833,-3.037964104981255,0.7756717518813406,1.0793783474115577
gov,50,gov,37.73529861124652,18.102326747786627,0.4325235600229937,-15.470147118704704,5.225578117937563,7.3358045282424795
bible,1,flores,3.1641772119822322,1.0239417232424248,-0.9022701174301909,-2.635860726920993,0.392852813980064,0.4230272053553149
bible,1,bible,26.019090941274392,10.016161125214158,-4.386434236148601,-17.348819290604762,2.103647625752891,2.339387112314516
bible,1,gov,2.164438405962688,0.6746425352428189,-0.6661732194316338,-1.872907726858392,0.26331223544175375,0.2815169157150271
bible,10,flores,4.561343390937878,1.6120792217971462,-1.0422590631571902,-3.4311637168887756,0.6733003292241592,0.7206089595306391
bible,10,bible,31.14215319968668,13.473966543048586,-2.4274206414096127,-16.738699438064405,3.099193443462377,3.348957636096494
bible,10,gov,3.6949017360958725,1.194080223708062,-1.0566580811370796,-3.082323784446715,0.512184862460184,0.5478272312851289
bible,25,flores,4.510673191072241,1.6688374188197805,-0.8888136364790521,-3.190700949914875,0.7357535819414504,0.7873052491259311
bible,25,bible,33.25743267490734,14.847506427922063,-1.721446082574935,-16.63349350890139,3.3587199942835624,3.6331594862006407
bible,25,gov,3.976229513936418,1.301555730138538,-1.1056496708963475,-3.2721354258408506,0.6366579406033849,0.6814683515654231
