,expr,splits,vars,model,trial,mean,min,25%,50%,75%,max
0,1A,,size,linear,size:linear,3.6073582667634514,0.1226869322027954,0.37979242683000275,1.9584681342848866,5.97412028993064,15.91562242066068
1,1A,,size,poly2,size:poly2,43.75744145999381,0.1962962962962957,2.41843107181319,7.838888888888894,33.12296390139737,501.4868265594022
2,1A,,size,poly3,size:poly3,352.85906180345444,0.6542816208319966,3.413310115512674,45.710275251502736,207.29031455959515,2617.03990255848
3,1A,,size,exp,size:exp,11.095180095790006,0.1488632993370429,0.6861306257302595,3.733283610030351,11.778694972973781,103.76782232760291
4,1A,,size,log,size:log,0.4001495095040829,0.0004253889796233,0.0470781864290826,0.1458552442483692,0.3658055815001816,2.217878451013244
5,1A,,size,power,size:power,1.0734985328302358,0.0341679966533855,0.12438535425343444,0.44796786121234955,1.2513762394004266,5.955364573491812
6,1A,,size,mult,size:mult,1.0734985328302358,0.0341679966533855,0.12438535425343444,0.44796786121234955,1.2513762394004266,5.955364573491812
7,1A,,size,hybrid_mult,size:hybrid_mult,3.3951343746344738,0.0221306102877192,0.12476807691741294,0.9047043764684981,5.484710965151025,23.78909595536428
8,1A,,size,am,size:am,3.6073582667634514,0.1226869322027954,0.37979242683000275,1.9584681342848866,5.97412028993064,15.91562242066068
9,1A,,size,gm,size:gm,3.607358269299257,0.1226869322027953,0.37979242664509866,1.9584681365568124,5.974120286362245,15.915622420660675
10,1A,,size,hm,size:hm,3.6073582667634514,0.1226869322027954,0.37979242683000275,1.9584681342848866,5.97412028993064,15.91562242066068
11,1B,,jsd,linear,jsd:linear,3.6436932599716862,0.8165107293049896,2.3643023174120668,3.1660120324017385,3.96254093820305,11.346205879534098
12,1B,,jsd,poly2,jsd:poly2,3.5930567972158425,0.4542886149274988,2.075213695086144,2.6048592318524024,3.021572536045914,14.3961285579517
13,1B,,jsd,poly3,jsd:poly3,2.929267401836713,0.1623952187278662,1.057771174762328,1.812709109903949,2.2346628490010696,15.77919863481947
14,1B,,jsd,exp,jsd:exp,21.628879606244954,0.7359689290271949,2.7125233332570655,4.216589663550543,5.622982737347453,173.529820953407
15,1B,,jsd,log,jsd:log,3.489723849303665,0.9384780145201836,2.1149988185214883,3.0220505072087342,4.250679009008408,7.343935600942971
16,1B,,jsd,power,jsd:power,1448.1318500788789,0.9496970768283076,3.5701353324863376,5.692855713950541,7.538098190891622,18108.547861685005
17,1B,,jsd,mult,jsd:mult,1448.1318500788789,0.9496970768283076,3.5701353324863376,5.692855713950541,7.538098190891622,18108.547861685005
18,1B,,jsd,hybrid_mult,jsd:hybrid_mult,71.77969686254741,0.7687425427138596,3.702673016312466,6.28505168822525,8.49708157342089,641.6484774749381
19,1B,,jsd,am,jsd:am,3.6436932599716862,0.8165107293049896,2.3643023174120668,3.1660120324017385,3.96254093820305,11.346205879534098
20,1B,,jsd,gm,jsd:gm,3.643693259288262,0.8165107293049896,2.3643023174768265,3.1660120324017385,3.9625409356911074,11.346205879534098
21,1B,,jsd,hm,jsd:hm,3.6436932597432463,0.8165107293049896,2.3643023164238937,3.16601203260159,3.9625409374737606,11.346205879534098
