,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,3.0645575827861253,0.0374912553076107,0.9280000740109959,2.1273485128490157,3.011104833292959,18.94426462823995,True,False
poly2,4.075115277746222,0.0063625728329476,2.3508370483756424,3.0122635129380075,3.96250550414578,22.24551538815138,True,False
poly3,5.984962487400298,0.0472659344511487,4.064475961073653,5.609842170829548,6.600095074310675,24.889569509854,False,False
exp,3.3039825181467393,0.0079659612423887,0.7970970527193456,2.371866993312249,3.105349501771825,28.13452720198721,True,False
log,3.048499523572628,0.2023027447439258,0.8594700840376917,1.9756450460444617,3.0099577772417474,20.098608359181213,True,False
power,2.729794723614945,0.0183361603900803,1.0934700532704897,2.0921847341285003,3.2553853083177016,20.606689019137807,True,False
mult,4.706453267365817,0.1338425101985506,0.6377260965879102,1.8583503387593017,3.1323504809304716,55.759355001621,True,False
hybrid_mult,12.616089278537245,0.2552753643613659,0.8029152854875191,1.8011282171770313,3.5426474419696494,214.4797415475559,True,False
am,3.3613647634097226,0.1163404324524925,1.3133961131160536,2.543673914489063,3.9292930735699994,17.81662315650949,True,False
gm,3.319318019144241,0.1350168828273211,1.3083167287296786,2.5403212358775584,3.918944680520582,17.312358995768335,True,False
hm,3.282137090769538,0.1514890364347532,1.2939703259213207,2.5369503724929463,3.909117670917339,16.867610771238894,True,True
