,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,2.100242141491245,0.057735026918961,0.9463068515394522,1.9428193457801606,3.334219150634857,5.369357503463518,True,False
poly2,2.1002421412490024,0.0577350265795171,0.9463068514980456,1.9428193457799279,3.334219150636979,5.369357522227458,True,False
poly3,2.1002421407451193,0.0577350259614872,0.9463068515660469,1.9428193457798726,3.3342191505139214,5.369357510559478,True,False
exp,2.1002421400822455,0.0577350269189623,0.9463068515893953,1.942819345628791,3.3342191506368053,5.36935750346351,True,True
log,2.100242141001947,0.0577350269189618,0.9463068514785202,1.942819345672635,3.3342191502830776,5.369357503463522,True,False
power,2.1002421406667113,0.0577350269189618,0.9463068515094445,1.9428193456322247,3.334219150477188,5.369357503463518,True,False
mult,2.1002421406667113,0.0577350269189618,0.9463068515094445,1.9428193456322247,3.334219150477188,5.369357503463518,True,False
hybrid_mult,2.2940844549671096,0.0577350269189016,0.9443394719215814,2.2167385528060954,3.5844433929900745,5.668986165144691,True,False
am,2.100242141491245,0.057735026918961,0.9463068515394522,1.9428193457801606,3.334219150634857,5.369357503463518,True,False
gm,2.100242141491245,0.057735026918961,0.9463068515394522,1.9428193457801606,3.334219150634857,5.369357503463518,True,False
hm,2.100242141491245,0.057735026918961,0.9463068515394522,1.9428193457801606,3.334219150634857,5.369357503463518,True,False
