train set,train set size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
gov,1,flores,4.099174871554185,0.9536859803172902,1.0,1.0,1.0,2.2193430564010694,2.2567827702754313
gov,1,bible,-0.8319835920115666,3.145763019600928,1.0,1.0,1.0,0.7759919902284581,0.7887720076004469
gov,1,gov,-3.663573298748359,43.4233263608468,1.0,1.0,1.0,2.9664073864999736,2.9949853095514976
gov,10,flores,22.81034368320831,-20.89009363412392,1.0,1.0,1.0,3.2595685862249564,3.3319655309594935
gov,10,bible,3.490220244357082,-2.7615597002011443,1.0,1.0,1.0,1.2478971080824424,1.2659904871795136
gov,10,gov,16.48438354373584,34.80103270068582,1.0,1.0,1.0,3.2786948132854836,3.3045169050117233
gov,25,flores,25.26933670777156,-20.926260712492944,1.0,1.0,1.0,3.733068342497453,3.817350796151493
gov,25,bible,2.9109471701027814,-0.7825453146237925,1.0,1.0,1.0,1.4178471620244923,1.4362587311665853
gov,25,gov,18.216253399900708,38.77731847025363,1.0,1.0,1.0,3.961591853878104,3.9987131002825573
gov,50,flores,47.28844887067138,-62.610756209331676,1.0,1.0,1.0,0.7535224712529174,0.7985419011185759
gov,50,bible,10.183853422619189,-15.170312239081726,1.0,1.0,1.0,0.3308983868540103,0.350304410759318
gov,50,gov,16.91250953438821,48.10189016252504,1.0,1.0,1.0,4.68184771002883,4.961595690578262
bible,1,flores,-0.7461686075224987,3.7773818290624015,1.0,1.0,1.0,0.5671678668219836,0.6177325496140803
bible,1,bible,12.414325248866692,8.418029274969946,1.0,1.0,1.0,2.772220209836566,2.798684150197251
bible,1,gov,0.13200485945152304,1.1284814101907847,1.0,1.0,1.0,0.4027836969045895,0.4415908500639707
bible,10,flores,-0.5363752101178287,5.7607597789327665,1.0,1.0,1.0,0.89387830930003,1.0028590018515597
bible,10,bible,26.65650280300101,1.0199481391802006,1.0,1.0,1.0,3.4108600123324995,3.413338201013899
bible,10,gov,0.023202931310018424,2.7401493838506137,1.0,1.0,1.0,0.7315356168012015,0.8070498363401383
bible,25,flores,1.2998483085461314,2.5138769104498695,1.0,1.0,1.0,0.83909623089507,0.8530531455438023
bible,25,bible,27.5578074778424,8.0019592134476,1.0,1.0,1.0,3.7144077254020016,3.718216139776925
bible,25,gov,0.7194350471412485,1.4482931292931895,1.0,1.0,1.0,0.789801149431203,0.8044336964907479
