model,pareto,rawlsian,gov,bible
linear,False,False,14.80289454500598,12.237194159036862
poly2,False,False,14.804744956813186,12.298292889063198
poly3,False,False,14.802906951548485,12.237436788247509
exp,True,True,14.625008469073576,12.04360974290179
log,False,False,14.744569402711598,12.23644805723314
power,False,False,14.993127727848238,12.233223345176436
hmult,False,False,15.20725614055108,12.236462126823136
