model,multi factor,multi variable,overall linear,sliced linear
linear,289.49%,97.15%,96.71%,100.00%
poly2,289.08%,97.02%,96.58%,99.86%
poly3,289.13%,97.03%,96.59%,99.88%
exp,289.49%,97.15%,96.71%,100.00%
log,289.52%,97.16%,96.72%,100.01%
power,289.51%,97.16%,96.72%,100.01%
hmult,289.53%,97.17%,96.72%,100.01%
