test set,language to,c0,c1,rmse,kfold rmse
flores,ka,3.1225437522970245,0.040664156948380575,4.829786363830486,5.224833708933396
flores,gu,6.27089208239308,0.027680724656626618,6.253945813052082,6.755353251365704
flores,hi,5.352325339613724,0.02544557165585391,5.280328758448841,5.380497842551187
flores,si,3.3881622653461094,0.026085021090522943,3.4193843925382272,3.501683862797992
flores,ta,2.5953465708335166,0.029636929244589896,2.5252466546867325,2.590572351387489
bible,ka,7.95992860515831,0.02664009128151002,10.743067360959513,11.573254069722696
bible,gu,10.422307919039385,0.019911583405248977,10.080765330162286,10.838821726915342
bible,hi,14.098877245805005,-0.005492355066034602,12.226419704389077,12.945039854119575
bible,si,15.96836789018442,-0.007742381157983146,15.676119099759495,16.51025670117546
bible,ta,12.4993789991951,-0.006318361347859901,12.452384888846895,13.187966188688018
gov,ka,8.948236514633336,0.02918694363008011,13.65489241318585,14.696779210237876
gov,gu,13.340236373017829,0.018249895603800362,15.078211888796499,16.17814770084041
gov,hi,11.384470661512392,0.023133266081107735,13.283185596383039,13.552455557995676
gov,si,13.281583593954737,0.026188002541334326,17.63264758961523,17.971465352572064
gov,ta,11.282337884660532,0.025453154364601785,14.644564525825926,14.944981645216227
