language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
ka,4.257286928499694,46.73608104827027,-39.474576271510585,-33.58347678692514,227.77541972422014,-1054.9385878604037,1123.5431040447613,3.5821572831057735,3.7017193017675103
gu,-11.101869312596179,35.82845279841715,-27.799038791860706,-24.093528716993543,463.7819890041447,-1749.6491792098857,1712.5376128022021,2.700284304473009,2.7984835849919194
hi,9.410216966922576,40.58762985881036,-72.75476753645249,41.4071291513495,238.21925159921523,-1080.8510401411706,1110.0953972501397,2.6085619444960937,2.70911733925769
si,80.55069435364359,11.624575229293413,-14.063790044905994,8.758904526556373,-499.1573537044118,1104.9970530561925,-841.530794137337,2.3182814317796496,2.394333132367593
ta,43.984711262973825,26.332190229115866,-47.240742464172456,29.684615964186342,-194.9374761461383,293.979193004712,-168.46251513902092,3.313012309560701,3.4961434699748763
