train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.331674398926542,-6.7666792695887054e-09,-2.550109505186594,8.46361089392732,8.544185962715263
1,gov,1.5330784681842242,-4.457212562052623e-09,-2.4918059479501764,9.692317702672275,9.691190576916608
10,flores,1.0635458170292145,-6.064763771559376e-09,-2.5489994975524826,5.267531424375695,5.265472397096805
10,bible,1.3280776931146068,-8.095257278042878e-09,-3.2267381328164264,13.220078625151002,13.288214759722466
10,gov,2.05663731759548,-2.489490418133034e-10,-2.94288726529807,17.112546796136595,17.115120600921376
25,flores,0.8680777921988133,-8.705925963060278e-09,-3.1031073084100105,6.305045413062944,6.325231738261848
25,bible,1.872804545668258,-9.350577277298109e-08,-3.0033832671359186,15.029677429914809,15.154891577081735
25,gov,2.24324617123856,1.397917479091995e-08,-2.969779575377393,19.016644594395448,18.967749921971482
50,flores,1.2510464036678244,-1.4813921969765036,-2.1751565345515447,0.6215154029590741,0.7423808872652706
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,2.479235213318883,2.912916045462377,-6.298357610290909,3.476086989429578,3.5049850569222976
