train set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,12.456128520644212,-0.007289580551989751,-2.2860782800259003e-07,-7.808879441534074e-09,14.728467132504273,14.802664031766522
bible,6.859975305959659,-5.2568735492707325e-09,-0.008184860102794633,-0.021407306659532947,12.313877913626941,12.236313965851172
