train set size,c0,"c1,1","c1,2",rmse,kfold rmse
1,59.000652596213776,-157.1491961689862,118.07454152258082,8.102687164199313,8.11127268578842
10,80.89312673912518,-205.16978420417178,154.1891463275237,13.532000684984085,13.557072817098106
25,82.02801573431516,-204.26651591309863,154.49828489411436,15.155167974789183,15.184092376833998
50,162.43117452546053,-430.4863921720472,319.6070950897504,17.182031967487852,17.874970824027216
