model,multi factor,multi variable,overall linear,sliced linear
linear,89.38%,30.00%,29.87%,100.00%
poly2,89.38%,30.00%,29.87%,100.00%
poly3,89.38%,30.00%,29.87%,100.00%
exp,89.38%,30.00%,29.87%,100.00%
log,89.38%,30.00%,29.87%,100.00%
power,89.38%,30.00%,29.87%,100.00%
hmult,91.50%,30.71%,30.58%,102.37%
