train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,rmse,loo rmse
cc_align,25,gov,1,flores,-7.53633160648809,-3.689861138233037,1.738188197308205,1.8282366319569443
cc_align,25,gov,1,bible,-4.047084536415471,-2.2828208709928095,0.6624191191059051,0.6624674417965792
cc_align,25,gov,1,gov,22.013970752143734,1.3837049127508898,2.8298744040265364,2.8298744251887387
cc_align,25,gov,10,flores,-9.753620504596922,-4.326602877389616,1.9970140410338078,2.101289631801997
cc_align,25,gov,10,bible,-3.674457294505449,-2.5446411096936195,0.803568337854681,0.8678770149786449
cc_align,25,gov,10,gov,34.69409311779189,1.3842012285930176,3.8585846271934177,3.8592136827571544
cc_align,25,gov,25,flores,-9.41430425336411,-4.402906436655862,1.8907086763754586,2.0029616309246894
cc_align,25,gov,25,bible,-3.037177641496088,-2.505946676889106,0.965865493406953,1.0477483150952827
cc_align,25,gov,25,gov,38.27381648695084,1.3831409944672763,4.3409465252735115,4.341127818040916
cc_align,25,gov,50,flores,-7.439330856636868,-4.376977129016837,0.15646172440815517,0.22818954449178191
cc_align,25,gov,50,bible,-2.072599379521969,-2.3490882938501385,0.43132282972865493,0.6304501001997445
cc_align,25,gov,50,gov,42.39209616441905,1.3754648920813994,5.425593537971065,5.490157394300187
cc_align,25,bible,1,flores,-3.486003600116274,-2.2615319275832153,0.5996344388177336,0.6053196242541642
cc_align,25,bible,1,bible,17.856025481883897,1.391474006379742,2.7052022241686373,2.7074241265291166
cc_align,25,bible,1,gov,-4.337205603457986,-2.30096914122669,0.3537892792511724,0.3560864217103606
cc_align,25,bible,10,flores,-4.113761895519942,-2.6639641098039797,0.7948495264626072,0.799236857037022
cc_align,25,bible,10,bible,27.435736852088773,1.3903989506215966,3.5256894700658985,3.52658964679449
cc_align,25,bible,10,gov,-3.6386155571867866,-2.301331602172076,0.8077074366749536,0.8149354636669294
cc_align,25,bible,25,flores,-3.59496379905556,-2.60783398912033,0.9023714548558407,0.9319990626974862
cc_align,25,bible,25,bible,31.435896730903284,1.3909359630171465,3.5187057080307365,3.5191302823380406
cc_align,25,bible,25,gov,-3.491676557140815,-2.3500782915511067,0.8697544271547176,0.8711905725289611
cc_align,100,gov,1,flores,-7.00764042845707,-3.7563992770513277,1.4169616696930891,1.4869124371112674
cc_align,100,gov,1,bible,-3.923257433802432,-2.3178471456658536,0.6270293710307909,0.6273707521631335
cc_align,100,gov,1,gov,23.63417513001497,1.384488508639435,2.3579124607672632,2.358000117456064
cc_align,100,gov,10,flores,-6.878881724998212,-4.23493718109238,2.0417080823908944,2.1357551509160957
cc_align,100,gov,10,bible,-0.6123852130223226,-1.8534995180258726,0.9155454321722837,0.9409607018418366
cc_align,100,gov,10,gov,35.27396518696818,1.3837042632811114,3.925919876649946,3.9259334630414506
cc_align,100,gov,25,flores,-6.3497317085332865,-4.305136114894189,1.7210995127389332,1.7515436744185884
cc_align,100,gov,25,bible,0.16492397445116683,-1.7198554620008977,0.9622779996826177,1.0349769147680417
cc_align,100,gov,25,gov,38.7140084902524,1.3838505666388763,4.4828858841377635,4.483168406713753
