train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,5.079245857867604,0.804150057704589,-8.293259749685123e-11,0.445277848653568,9.043809564977032,9.217250527634853
1,gov,7.2016709064425815,-2.7495083208675833e-09,0.03451270706212567,0.05025161336784221,9.987976463660766,9.776829774825387
10,flores,4.625258827306763,-2.2177399129281243e-09,-0.011149616036306452,0.04993858010261998,5.919417823449067,5.690492039618588
10,bible,10.849064485919609,1.6644037864572685,-2.2452045906612912e-12,-0.1375387318228509,13.430226109620731,13.655173210804461
10,gov,14.660009965217368,1.5629724449475673,-3.8298235002986074e-09,0.0012087308711575132,17.12326960362834,16.945244983336288
25,flores,4.891486446501972,0.7172527320969175,-1.4871014344780803e-09,0.356489432872963,7.1940471912212764,6.617027181301489
25,bible,14.629754291501394,5.335940272123548e-07,7.61896645497445e-09,8.211570615801666e-07,15.108981656988064,15.319785845368367
25,gov,16.830493014835223,-1.4324295076320368e-09,-0.029236348289826103,-0.02934440062743653,19.096974747133547,18.826099458832573
50,flores,11.702643881703901,1.7122743743310913e-06,0.00037042523023505093,9.278708113705224e-12,4.233507070649275,3.576143870109972
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,35.582797346851095,6.979845987010236,-7.489536389703569e-11,-0.20501075035775082,5.824164981402732,5.551708650578665
