train set 1 size,train set 2 size,language to,c0,c1,c2,rmse,loo rmse
25,1,ka,0.18492980804564807,-0.2278213730947049,-1.2961713044881449,3.9665634719409812,4.065069360179454
25,1,gu,3.424319031937825,-0.2954053028105415,-1.247029052660236,5.8099539705849335,5.935987983991754
25,1,hi,1.7262144346120527,-0.20960577721491228,-1.3431522674840992,4.297651333127274,4.386931763358818
25,1,si,-1.767800671212895,-0.2175901039582023,-1.7463946178491259,1.3655049138265765,1.3828193134963334
25,1,ta,-0.34745102319835086,-0.26809158607564126,-1.36446291420399,4.237595156840611,4.376928028859339
25,10,ka,2.1340564183272503,-0.37274625335509937,-1.3381045984948647,6.292168705739481,6.420924914166156
25,10,gu,6.658322767282743,-0.5216846073975799,-1.2203899366176199,8.011067277089609,8.171553611727832
25,10,hi,3.7078870285488614,-0.46457415182998274,-1.3141738413543211,6.348774355762543,6.491932130751098
25,10,si,2.197515070981108,-0.046538434055549874,-1.6285555260271618,3.0418478076474216,3.05887094079746
25,10,ta,0.19770765633568682,-0.4806433963206668,-1.3448735112718808,3.4623462063885837,3.7023371413525368
25,25,ka,3.0040877936512405,-0.35775220507123334,-1.3611025818094868,7.18379630502574,7.321010609511564
25,25,gu,7.823094000862591,-0.5273393470594078,-1.2354861104268906,8.700906176233936,8.868424119009894
25,25,hi,4.434576092293969,-0.4796402925323563,-1.3250089242801981,6.808796739964718,6.946657260264019
25,25,si,3.476488937996955,0.098353374741135,-1.6702611994400094,3.944547903353538,4.316534725048481
25,25,ta,1.1205637866545521,-0.47781675661839923,-1.3510325488110357,3.561801140501809,3.8120672751555484
25,50,hi,7.45176406742344,-0.2956745235490171,-1.6234641014164706,4.020910772080849,4.021162600664232
25,50,si,6.451974020940998,-0.14706477695258974,-1.5551479503791912,3.1477450148867403,4.951469500221081
25,50,ta,5.651045111774575,-0.21550878789211939,-1.4507701737446803,2.375299243219014,2.8872214980050637
100,1,ka,-7.699741602421209,-1.8221574500209134,-0.9960940152278376,2.163927117697274,2.1796442580145152
100,1,gu,-7.029516140634993,-2.0218708976184785,-0.9771579328702713,4.164826837422959,4.181269368147138
100,1,hi,-8.814229607718316,-1.9683745784716196,-0.9230814924399043,2.5987658088308274,2.6115615410650745
100,1,si,-1.6447912151573203,-0.38265498565281686,-1.6736841108679343,1.6482623631197728,1.6886067904725344
100,1,ta,-7.6126138300518456,-1.6507513515681067,-0.9704728262318968,1.9737452401021287,1.9890034316373018
100,10,ka,-7.596324326800554,-1.9359261179644687,-1.0087834188772733,2.393676490490058,2.4647327744864906
100,10,gu,-7.840742279062263,-2.283944316308643,-0.9556851078314943,4.648694970406541,4.661734571068125
100,10,hi,-8.208714139639154,-2.0562013134987294,-0.9158068437866499,3.13876294617688,3.1876836980129526
100,10,si,1.8707214428827266,0.10031034408363933,-1.6978614562077161,3.220178564299958,3.2909449848922225
