train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
cc_align,25,gov,1,flores,15.966736861778879,7.024435868121184,-0.6982074186146353,-2.5356018035297607,-3.8418361342185743,-2.507866733255464,3.019403474566304e-09,1.0005044957198244
cc_align,25,gov,1,bible,0.16612640211460317,0.5112715073905699,1.2641594288343347,-3.4262742282921548,-5.677246229904587,-1.598671948574088,6.040253297308379e-10,0.18438645364811032
cc_align,25,gov,1,gov,30.900017482238955,-1.201427945671399,0.5068299911507502,0.6057076812491204,-2.3709171973602587,0.7176738465311374,1.1543308595980267e-07,0.9501206949630117
cc_align,25,gov,10,flores,2.799078025373223,2.9091525300725274,-0.7649742795600007,-1.51526668648782,-1.0263501778591853,-2.4409322702465355,1.9168282942180643e-09,2.3915640083848086
cc_align,25,gov,10,bible,2.779348456100326,-0.7609045965815718,1.7436261161239088,-3.6554374375698475,-4.526692570233653,0.9383941311260622,7.078830596258585e-10,0.17714810297984881
cc_align,25,gov,10,gov,34.649947049362304,-1.5028990795809483,0.18392509200505922,1.134997976582595,-1.3136815005554654,0.5900674060130432,4.226383134920337e-08,1.5307361658293959
cc_align,25,gov,25,flores,2.7348758255132237,2.4741749583798924,-0.7765531100801953,-1.3407390604998999,-0.5854141377060901,-2.352812376466947,3.958474354131863e-09,4.33746411160708
cc_align,25,gov,25,bible,2.9817857063710456,-0.9720173207187923,1.7948737697062958,-3.3455292257370166,-3.969318588825205,0.8001667219340202,7.50033418870801e-10,0.19752082884645308
cc_align,25,gov,25,gov,34.926044575220686,-1.6472166622504876,0.16949833077443227,1.2459097130381005,-1.1669850175554346,0.5646190078445316,2.173309305627391e-07,2.4020507563771907
cc_align,25,gov,50,flores,8.142337834316086,-0.07141167751325891,-0.06103184342950885,-1.3346823792660567,-1.5725189693255255,0.0880849778517681,3.5135414474396414e-09,1.0644639587513214
cc_align,25,gov,50,bible,1.7558662073555722,-0.042532089703386455,-0.92586682386226,-0.977412672198547,5.1534711889808325,0.21486310360503116,2.0142886560907104e-09,0.584084663363611
cc_align,25,gov,50,gov,31.655827613680763,-0.15329270979120102,-1.1943204646169256,1.8923566629090813,3.467174767498809,-0.14110889317368386,6.329831545736414e-07,2.7636661573024095
