,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,21.490185655470913,22.709061480339113,0.7953529580681055,0.9793026381506155,0.8739702582967159
1,poly2,,12.398155001110613,13.617030825978814,0.9667890175574623,0.5146774272179767,0.3681552004654256
2,poly3,,11.804130270478938,13.023006095347139,0.970509278998144,0.5039623299732161,0.33356815972582643
3,exp,,20.537175892366932,21.75605171723513,0.830867100080844,0.6760024702936397,0.7910928531545866
4,log,,22.388857178946214,23.607733003814413,0.7550580966478019,0.6816730714703187,0.5817003107849641
5,power,,18.444110649303624,19.662986474171824,0.8887175295892116,0.6406139904906287,0.33195135837661555
6,mult,,21.521871999149525,22.740747824017724,0.7940519366604546,0.7620114933733775,0.877827837687297
7,hybrid_mult,,15.075846637236348,16.29472246210455,0.9432634317851679,0.4420454501721367,0.19386481843175968
8,am,,22.116370630159757,23.335246455027956,0.7680495564426548,0.531661402811102,0.1577660336943988
9,gm,,22.484912522297186,23.703788347165386,0.7503070103202505,0.4178024303977638,0.005612350557684036
10,hm,,22.919552247553725,24.138428072421924,0.7276303728960143,0.455661577856081,0.17231816529048935
