model,mean,min,25%,50%,75%,max
linear,13.701551204513638,13.701551204513638,13.701551204513638,13.701551204513638,13.701551204513638,13.701551204513638
poly2,13.688482665613288,13.688482665613288,13.688482665613288,13.688482665613288,13.688482665613288,13.688482665613288
poly3,13.656620918481526,13.656620918481526,13.656620918481526,13.656620918481526,13.656620918481526,13.656620918481526
exp,13.650138195671088,13.650138195671088,13.650138195671088,13.650138195671088,13.650138195671088,13.650138195671088
log,13.701408290748612,13.701408290748612,13.701408290748612,13.701408290748612,13.701408290748612,13.701408290748612
power,13.654919212065124,13.654919212065124,13.654919212065124,13.654919212065124,13.654919212065124,13.654919212065124
mult,13.64726895394402,13.64726895394402,13.64726895394402,13.64726895394402,13.64726895394402,13.64726895394402
hmult,13.647896195417925,13.647896195417925,13.647896195417925,13.647896195417925,13.647896195417925,13.647896195417925
am,13.71158888324715,13.71158888324715,13.71158888324715,13.71158888324715,13.71158888324715,13.71158888324715
gm,13.711554360812082,13.711554360812082,13.711554360812082,13.711554360812082,13.711554360812082,13.711554360812082
hm,13.711581720094042,13.711581720094042,13.711581720094042,13.711581720094042,13.711581720094042,13.711581720094042
