,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-267.28178511972527,-266.0629092948571,1.0,0.7883529340152734,0.7353586704728267
1,poly2,,-246.49878449949142,-245.27990867462321,1.0,0.9832019736857647,0.9086952475309853
2,poly3,,-191.6403888457835,-190.42151302091528,1.0,0.8871275525933203,0.8059191584494083
3,exp,,-212.39020123429873,-211.17132540943052,1.0,0.8792096011028739,0.7798907192754858
4,log,,-223.0816916400597,-221.86281581519148,1.0,0.5345684280320473,0.516848122658152
5,power,,-13.902394995453554,-12.683519170585352,0.9833765908633111,0.6090848663108798,0.748127636442695
6,mult,,-212.23052317373077,-211.01164734886257,1.0,0.0010014497096499143,0.022071693467987104
7,hybrid_mult,,-215.43026607354014,-214.21139024867193,1.0,0.0457619898583015,0.27058381030549855
8,am,,4.8389873142698425,6.057863139138043,0.294371882557557,0.36318571665275495,0.612571118297955
9,gm,,5.069372044483737,6.288247869351938,0.2610980011768407,0.572429172541278,0.7515424535122432
10,hm,,4.846555834604612,6.065431659472813,0.29330296159552494,0.8588587437850354,0.9549730611419374
