,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-113.05825114412296,-112.86102656678675,1.0,0.0,
1,poly2,,-124.88877327061434,-124.69154869327812,1.0,0.0,
2,poly3,,-103.2931265046494,-103.09590192731318,1.0,0.0,
3,exp,,-120.50626074452728,-120.30903616719107,1.0,0.0,
4,log,,-122.32183087288665,-122.12460629555044,1.0,0.0,
5,power,,-120.3515270450336,-120.15430246769739,1.0,0.0,
6,mult,,-121.41865773277382,-121.22143315543761,1.0,0.0,
7,hybrid_mult,,-122.16058059223273,-121.96335601489652,1.0,0.0,
8,am,,4.69868574146138,4.895910318797599,0.8111492044047721,0.0,
9,gm,,4.938698880546815,5.135923457883035,0.795419479413212,0.0,
10,hm,,5.230455829960572,5.427680407296792,0.7745239470053225,0.0,
