,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-115.82581812414097,-115.62859354680475,1.0,0.0,
1,poly2,,-125.02867535761953,-124.83145078028332,1.0,0.0,
2,poly3,,-108.22785403595351,-108.0306294586173,1.0,0.0,
3,exp,,-122.31997678181932,-122.1227522044831,1.0,0.0,
4,log,,-109.93894350603193,-109.74171892869572,1.0,0.0,
5,power,,-174.6406555283058,-174.4434309509696,1.0,0.0,
6,mult,,-108.5858002440286,-108.38857566669239,1.0,0.0,
7,hybrid_mult,,-115.81646330550758,-115.61923872817137,1.0,0.0,
8,am,,3.638471574105627,3.835696151441846,0.8673714266887937,0.0,
9,gm,,3.9036090260948493,4.100833603431068,0.855116250945676,0.0,
10,hm,,4.295221142496581,4.492445719832801,0.8349135852871349,0.0,
