train set,language to,c0,c1,c2,rmse,kfold rmse
gov,ka,605.8460576717248,21.974618987225725,-1.1295845453780653,10.844869242409397,11.085025274941172
gov,gu,31.51597654412975,2.6619971497336183,-0.2678506715134372,11.689754932008698,11.942926511433694
gov,hi,39.82925254242025,5.8351408432980065,-0.3669685617704815,11.883401689096006,12.105005385373643
gov,si,46.6545863431837,5.573126003139685,-0.4218095274018488,17.371777063347636,17.643534492159567
gov,ta,27.480532212243173,2.834507278976155,-0.32528580493657266,14.349596941949018,14.624914548743249
bible,ka,20.810072330818254,3.826432216503849,-0.391753532775225,10.040694973764712,10.346003779514625
bible,gu,16.36508276663868,1.9555581847280585,-0.2337369077291494,9.893581907645595,10.098437331435937
bible,hi,15.835705909259463,1.4095947487388738,-0.20600107620196087,11.787406965761146,12.0245378107305
bible,si,20.67442692712866,3.020034058557945,-0.252037721603437,14.668156490088444,14.952758674696746
bible,ta,15.399298568501733,1.363615234968932,-0.2479015561426479,11.588627886699488,11.818925908998343
