language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
ka,3.5967544807355027,51.049257230670314,-43.56269486649093,-37.17891773088002,10.739753945736153,10.801006947846513
gu,7.9240864897955445,39.43669717922726,-31.51735540977523,-27.17149565356652,11.436216027921683,11.531829912803072
hi,7.111418537093445,49.62732041791601,-94.49532897601364,57.456621047615556,12.07774419183552,12.327789478692939
si,6.957890968369114,58.457655261515754,-110.77785928805586,66.46231923797971,16.406072240213884,16.890756109862544
ta,5.773976949274247,46.35484417231641,-87.11539789096616,52.88672930624431,13.35976546725293,13.74969375471152
