train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,0.0041193754943279716,-9.605286565773227,2.8414054900569714,1.8807142968513013,1.8839281486464936
gov,1,bible,4.109129103375387e-06,-16.674049211259266,3.6464660470325305,0.693686330975715,0.6939066222147693
gov,1,gov,18.85359915858265,0.24500379394640656,4.660558815659297,3.369323308640697,3.3693281438310847
gov,10,flores,0.016068792417835008,-9.039965710764923,2.7661157541640238,1.8173208943604815,1.8324857702211121
gov,10,bible,6.219193337497907e-06,-17.33049461466202,3.3453297320754816,0.8557102449474063,0.8562706914692644
gov,10,gov,58.03558861433109,0.880143100632541,7.362605468768441,1.2529146181959083,1.2706741463852282
gov,25,flores,0.03437507001552496,-8.257983828734808,2.6904978160912085,2.1579187390973025,2.1742571350685607
gov,25,bible,5.923539455058656e-05,-14.54812747247553,2.835696328470047,1.0428614299267664,1.042925633829047
gov,25,gov,66.37094224314923,0.9409349890315656,7.152275544995355,1.4657798864089855,1.4963935272340836
gov,50,flores,0.0757975330630558,-7.283551394322279,3.4517613646473193,0.24385076999071545,0.25727880787684887
gov,50,bible,0.012969005534706503,-6.723837654028273,-8.693767239606375,3.1714313080323688e-15,3.1401849173675503e-16
gov,50,gov,73.17557300457571,0.9944714776792924,7.365724782794863,1.346184453741435,1.39913301922078
bible,1,flores,0.0014842919063082823,-9.211790380663974,2.4284521523878024,0.5208972391355551,0.5217555096007854
bible,1,bible,44.35916786933298,1.4530030723932303,9.489978221784378,2.167995451958237,2.2734604821911457
bible,1,gov,1.890456152663642e-05,-14.393869927953745,2.907079259910692,0.31728810004491914,0.32006944108712304
bible,10,flores,0.007458078635965937,-7.958377673074744,2.344753161932898,0.7802871626898108,0.7883168699303144
bible,10,bible,80.34871074126676,1.5896558452621463,10.516220876609397,2.032402552818374,2.340609668165658
bible,10,gov,0.00013877755394851128,-12.64755786650891,2.7252313416880387,0.5802224207791211,0.5849144536582335
bible,25,flores,0.022578051689882278,-6.513254613884396,2.157955787869547,0.7017441470992577,0.7017828975975371
bible,25,bible,76.23904246736302,1.305311887251781,10.172409914633263,2.238895003461495,2.2641558325476563
bible,25,gov,0.0003787877255791292,-11.315508075583535,2.6328109257371297,0.6457207723930621,0.6462387046992337
