train set,train set size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
gov,1,flores,-4.633067504066115,9.774956174329693,-6.242533602167509,-1.7938721382161877,-4.8175260438367955,1.9152553900923254e-15,2.215911709556179e-14
gov,1,bible,-7.463460315239985,1.6276182673161697,-3.8820308264160803,-0.051025346992754045,-0.5024791050742512,4.530675840364858e-15,1.3961909799561752e-15
gov,1,gov,10.596941985387689,15.553421144623913,-9.363065057067956,-2.932152266989079,-4.929989404913765,1.9691972955052917,2.101139318159906
gov,10,flores,-19.327376979623345,1.5094016466201414,-5.594972086160553,-0.21165212205853537,-0.1853760256896211,2.4056357996798566e-14,6.970927611273433e-15
gov,10,bible,-9.547677634605774,2.1134570850236325,-4.310253440580066,-0.2322961627879175,-0.904181785852774,2.6852712547870858e-15,8.689699372441099e-14
gov,10,gov,31.549999985377884,4.31982457224784,-69.91271201672822,24.115160110289153,91.29699204031067,0.5375872174769745,0.5375872289817744
gov,25,flores,-20.65214323581697,1.4345369620811492,-5.779591936251208,-0.17708675800298693,-0.09470888085149945,8.255760547102576e-15,1.6046314201838945e-14
gov,25,bible,-9.052703683176452,2.563932187881781,-4.468190837144827,-0.2602303122143186,-1.213099941494642,2.742947481003856e-15,1.6705075432991404e-15
gov,25,gov,34.89999999973183,9.211273595072191,-87.53138328406894,29.501824734814925,110.5935338738329,0.3794733193897443,0.379473337723502
gov,50,flores,4.72263079946488,-0.8576165189232337,-1.0044531777520007,-0.7198607108551198,-1.0097395737336519,2.2932668186396043e-15,4.1023203976182695e-15
gov,50,bible,0.08936249129761797,-0.8293011230687725,1.7324812681454622,-0.5550682325309951,-2.5450123956826953,9.969580219513828e-14,6.0211902839706315e-15
gov,50,gov,7.121467693154637,-2.250339593363828,-5.663214215788518,0.46050701775123243,3.744238660360673,1.6914300309505966e-14,1.160311428702309e-14
bible,1,flores,-2.338363360387517,5.593539937306894,-3.6272927119947815,-0.8265421818847136,-3.008602597843767,6.222573085361373e-14,0.020386684556096605
bible,1,bible,14.259758583345503,122.82736263812352,-36.0700660888194,-30.73043960150095,-50.0178103122575,1.1527415129061342,2.639656346191817
bible,1,gov,-3.106689918368693,3.4071311416482803,-2.9721811449417768,-0.5582211462850717,-1.7497757947456405,7.216449660063518e-16,0.053867378875250414
bible,10,flores,-6.922120735584241,1.5519411297758563,-4.000617117112818,-0.08580996211306897,-0.36548416369785025,9.125465977548383e-15,0.46974934337364044
bible,10,bible,25.224999704379066,374.7496361541415,-67.54818484247062,-125.29589403919213,-143.3227573770929,0.8570786528030935,3.8647982401415724
bible,10,gov,-5.211540966501182,2.784244864288168,-3.6902201706655116,-0.3746171775241017,-1.2852563903478997,1.1027967003104999e-15,0.20907407151465474
bible,25,flores,-6.908801648063269,1.1740462774696756,-3.9391395844180095,0.02284835859931599,-0.23439788810641662,3.1589698401608394e-15,1.5511369252661372e-15
bible,25,bible,29.3333332391993,419.6077748610444,-38.68503377202229,-172.36647187745487,-148.42081066792434,1.1390055069406253,1.1831488801267012
bible,25,gov,-7.143634922005168,1.7984949649411432,-3.932553471561124,-0.14730651923401683,-0.5638278250579946,6.505992179779124e-14,9.942541535518373e-16
